NM,length,ratio
369,30292,0.0121814340419913
375,28831,0.0130068329228955
202,39914,0.00506088089392193
120,16891,0.00710437511100586
331,24679,0.0134122128125127
181,13758,0.0131559819741241
167,17884,0.00933795571460523
107,24665,0.00433813095479424
81,17464,0.00463811268896015
571,75745,0.00753845138292957
86,13390,0.00642270351008215
194,20768,0.00934129429892142
133,21178,0.00628010199263387
86,14038,0.00612622880752244
75,25003,0.00299964004319482
517,67877,0.007616718476067
244,17093,0.0142748493535365
965,167649,0.00575607370160275
372,220491,0.00168714369293985
433,80686,0.0053664824133059
464,18809,0.0246690414163432
1002,230056,0.00435546127899294
120,112106,0.00107041549961643
3556,26333,0.135039684046634
6132,30627,0.200215496130865
2200,190632,0.0115405598220656
353,81465,0.00433314920518014
11575,1298824,0.00891190800293188
2555,1293219,0.00197569011899763
144,19361,0.00743763235370074
63,20281,0.00310635570238154
473,57893,0.00817024510735322
129,16819,0.00766989714013913
724,127384,0.00568360233624317
272,22857,0.0119000743754648
240,33293,0.00720872255429069
2498,1022876,0.00244213374837224
537,24535,0.0218871000611372
129,18059,0.007143252671798
105,15210,0.00690335305719921
450,14054,0.032019353920592
444,13573,0.0327120017682163
250,50436,0.00495677690538504
198,24323,0.00814044320190766
62,26787,0.0023145555679994
114,30091,0.00378850819181815
106,21021,0.0050425764711479
600,49499,0.0121214569991313
403,25929,0.0155424428246365
443,78721,0.00562746916324742
968,29930,0.0323421316404945
191,21363,0.00894069185039555
3403,1011309,0.00336494582763527
1707,868948,0.00196444436260858
2921,1098765,0.00265843924770083
239,20571,0.0116182976034223
2190,524715,0.00417369429118665
263,32915,0.00799027798875892
1334,1073604,0.00124254380572353
151,17704,0.00852914595571622
2979,1533505,0.00194260859925465
113,30931,0.00365329281303547
162,18215,0.00889376887180895
2210,1379239,0.00160233288066825
3710,2626205,0.00141268484371936
45,35091,0.00128238009746089
207,14077,0.0147048376784826
4437,2605520,0.00170292302496239
46,6780,0.00678466076696165
1332,132140,0.0100802179506584
145,20220,0.00717111770524233
294,13250,0.022188679245283
10788,5303474,0.0020341383779764
123,33264,0.0036976911976912
3225,980192,0.00329017172145865
223,47910,0.00465456063452306
157,48915,0.00320964939180211
64,36815,0.00173842183892435
70,15432,0.0045360290305858
47,29430,0.00159700985389059
134,44703,0.00299756168489811
101,21351,0.00473045758980844
4325,2227463,0.00194167086052608
3172,1160585,0.00273310442578527
4418,2168598,0.00203726094001747
391,279529,0.00139878152177413
59,13113,0.00449935178830169
88,32777,0.00268480947005522
2558,1627834,0.00157141330135628
1054,125607,0.00839125207990001
281,11894,0.02362535732302
13,27488,0.000472933643771828
640,154492,0.00414260932604924
439,54711,0.00802398055235693
47,12382,0.00379583266031336
72,16974,0.00424178154825027
242,18743,0.0129114869551299
1288,33737,0.0381776684352491
303,17795,0.0170272548468671
419,71426,0.00586621118360261
411,36770,0.0111775904269785
177,60534,0.00292397660818713
143,21915,0.00652521104266484
189,28377,0.00666032350142721
30,30307,0.000989870326987165
140,13877,0.0100886358723067
102,33928,0.00300636642301344
240,12034,0.0199434934352667
392,32919,0.0119080166469212
19,14130,0.0013446567586695
55,32043,0.0017164435290079
220,18843,0.0116754232340922
131,50500,0.00259405940594059
150,18037,0.00831623884237955
278,20876,0.0133167273424028
180,17930,0.0100390407138873
39,33020,0.00118110236220472
138,35865,0.00384776244249268
24,11966,0.00200568276784222
164,184172,0.000890471950133571
161,58167,0.00276789244760775
503,20109,0.0250136754686956
446,17790,0.0250702641933671
484,20860,0.02320230105465
261,14852,0.0175733907891193
255,17256,0.0147774687065369
588,18247,0.0322244752562065
290,15884,0.0182573659027953
334,13521,0.0247023149175357
352,24713,0.0142435155586129
1324,32655,0.0405450926351248
363,16487,0.0220173470006672
302,12845,0.0235110938108213
685,34143,0.0200626775620186
883,28045,0.031485113210911
557,27799,0.020036691967337
557,22110,0.0251922207146088
708,14934,0.047408597830454
458,28435,0.0161069104976262
815,29684,0.0274558684813367
729,12307,0.0592345819452344
850,13849,0.0613762726550653
2317,31318,0.0739830129637908
732,11639,0.0628920010310164
3423,22730,0.150593928728553
896,12877,0.0695814242447775
731,12929,0.0565395622244567
913,12862,0.0709842948219561
1791,23326,0.0767812741147218
1890,22233,0.0850087707461881
2699,27119,0.0995243187433165
1486,22637,0.0656447409108981
2820,28746,0.0981006053016072
3346,29318,0.114127839552493
1940,20282,0.0956513164382211
1760,19692,0.0893763965061954
2499,27012,0.0925144380275433
1755,17557,0.0999601298627328
3176,26234,0.121064267744149
1623,18854,0.0860825289063329
1823,18939,0.0962564021331644
2036,18783,0.108395889900442
1430,18545,0.0771097330816932
2238,17643,0.126849175310321
1591,17512,0.0908519872087711
989,16837,0.0587396804656412
567,13790,0.0411167512690355
666,9424,0.0706706281833616
748,15670,0.0477345245692406
1537,16375,0.0938625954198473
1047,17740,0.0590191657271702
2283,18175,0.125612104539202
800,17750,0.0450704225352113
1202,17416,0.0690169958658705
950,8171,0.116264839064986
1194,14309,0.0834439863023272
1474,10263,0.143622722400857
752,16234,0.0463225329555255
903,9846,0.0917123705057891
1207,17889,0.06747163061099
1002,17904,0.0559651474530831
1115,14701,0.0758451805999592
967,17643,0.0548092727994105
1267,16698,0.0758773505809079
1271,14990,0.0847898599066044
845,15568,0.0542780061664954
857,17086,0.0501580241133091
821,16528,0.0496732817037754
1017,17856,0.0569556451612903
1069,17680,0.0604638009049774
680,13149,0.0517149593124953
836,15636,0.0534663596827833
875,17773,0.0492319810949193
1427,17310,0.0824378971692663
1091,13552,0.0805047225501771
647,14441,0.0448029914825843
1072,15245,0.0703181370941292
1116,17371,0.064245006044557
1382,17570,0.0786568013659647
1472,16157,0.0911060221575788
765,15726,0.0486455551316292
783,16923,0.0462683921290551
1840,15132,0.121596616441977
828,16416,0.0504385964912281
391,8137,0.0480521076563844
955,14941,0.0639180777725721
1312,13754,0.0953904318743638
2663,13739,0.193827789504331
803,15749,0.050987364277097
1382,13678,0.101038163474192
980,14822,0.0661179328025908
1823,15388,0.118468936833897
625,12815,0.0487709715177526
721,15125,0.0476694214876033
1310,14905,0.087889969808789
921,12947,0.0711361705414382
871,13580,0.0641384388807069
189,5271,0.0358565737051793
1464,28952,0.050566454821774
134,16923,0.00791821781008096
116,16419,0.00706498568731348
119,16444,0.00723668207248845
171,15346,0.0111429688518181
146,13094,0.0111501451046281
994,50668,0.0196179047919792
453,42529,0.0106515554092502
1020,37129,0.0274717875515096
312,20870,0.0149496885481552
331,30882,0.0107182177320122
171,21580,0.00792400370713624
503,27657,0.0181870774125899
364,25743,0.0141397661500214
393,26949,0.0145831014137816
245,27616,0.00887166859791425
779,23707,0.0328594929767579
388,26263,0.0147736359136428
239,24196,0.00987766572987271
309,29564,0.0104519009606278
376,26519,0.0141785135186093
144,18370,0.00783886771910724
250,20101,0.0124371921794936
461,18205,0.0253227135402362
323,12209,0.0264558931935457
346,9824,0.0352198697068404
498,18117,0.0274879947011095
2365,22790,0.10377358490566
2758,39034,0.0706563508735974
3278,27559,0.11894480931819
3105,40340,0.076970748636589
4653,28676,0.162261124285116
2071,20989,0.0986707322883415
1297,19308,0.0671742282991506
3868,50137,0.0771486128009255
1192,19851,0.0600473527781976
4262,54443,0.0782837095678049
1824,26934,0.0677210960124749
2433,25066,0.0970637516955238
1765,21373,0.0825808262761428
1674,21686,0.0771926588582496
4363,53007,0.0823098836002792
1772,21351,0.0829937707835699
4151,52445,0.079149585279817
1738,24606,0.0706331788994554
3820,50509,0.0756300857272961
4232,51892,0.0815539967625067
2610,34806,0.0749870711946216
1288,22604,0.0569810652981773
1473,21848,0.0674203588429147
1160,15013,0.0772663691467395
1011,15548,0.0650244404425007
1298,19220,0.0675338189386056
2900,22487,0.128963401076177
2834,50176,0.0564811862244898
1190,16996,0.0700164744645799
2430,32949,0.0737503414367659
2502,42694,0.0586030824003373
879,13195,0.0666161424782114
1862,22437,0.0829879217364175
1959,28178,0.0695223223791611
1030,17496,0.0588705989940558
2696,19993,0.134847196518782
1482,21879,0.0677361853832442
1062,16982,0.0625368036744789
629,14139,0.044486880260273
1292,19244,0.0671378091872792
2810,33443,0.0840235624794426
937,13667,0.0685593034316236
1068,15587,0.0685186373259768
2296,18164,0.126403875798282
4598,35231,0.130510062161165
2562,19479,0.131526259048206
749,13804,0.0542596348884381
1778,25291,0.0703016883476336
1304,22432,0.0581312410841655
600,13474,0.0445302063232893
1257,18877,0.0665889707050909
1769,25828,0.0684915595477776
1003,18119,0.0553562558640102
1885,21798,0.0864758234700431
554,13618,0.0406814510207079
713,12027,0.0592832792882681
2246,42431,0.052932997101176
2075,20288,0.102277208201893
858,13356,0.064240790655885
1894,29874,0.0633996117024838
858,17038,0.0503580232421646
1880,29306,0.0641506858663755
1326,18443,0.0718971967684216
2564,38582,0.0664558602457104
1973,29599,0.066657657353289
1372,22650,0.0605739514348786
639,13164,0.0485414767547858
898,13669,0.06569610066574
569,12853,0.0442698202754221
1199,13064,0.0917789344764238
1582,26741,0.0591600912456527
731,13894,0.052612638549014
1251,21650,0.0577829099307159
685,14423,0.047493586632462
755,12432,0.0607303732303732
1351,9298,0.145300064530006
1014,19464,0.0520961775585697
1277,21500,0.0593953488372093
1849,38634,0.0478593984573174
535,13060,0.0409647779479326
559,12864,0.0434546019900498
2600,46814,0.0555389413423335
1844,23748,0.077648644096345
1005,15606,0.064398308342945
497,12490,0.0397918334667734
2054,37898,0.0541981107182437
1424,22969,0.0619966041185946
615,14569,0.0422129178392477
539,12267,0.0439390233961034
1337,21193,0.0630868683055726
913,17279,0.052838705943631
684,14169,0.0482744018632225
1065,15514,0.0686476730694856
2192,28331,0.0773710776181568
800,13484,0.0593295757935331
608,12406,0.0490085442527809
3616,53029,0.0681891040751287
843,14217,0.0592952099599072
1049,16858,0.0622256495432436
1218,20645,0.0589973359166869
567,12706,0.0446245868093814
1869,30004,0.0622916944407412
897,15393,0.0582732410836094
472,11577,0.0407704932193142
1059,20111,0.0526577494903287
619,13228,0.0467946779558512
824,13958,0.0590342455939246
569,12396,0.0459019038399484
496,12235,0.0405394360441357
