NM,length,ratio
237,18927,0.0125217942621652
1465,22404,0.0653901089091234
977,23915,0.0408530211164541
8,3758,0.00212879191059074
1323,43273,0.0305733367226677
1472,29225,0.0503678357570573
167,23155,0.00721226516950983
320,18818,0.0170049952173451
2003,219488,0.00912578364193031
894,66447,0.0134543320240191
912,159693,0.00571095790047153
1406,104174,0.0134966498358516
2197,160870,0.0136569901162429
95,13265,0.00716170373162458
527,25720,0.0204898911353033
4052,222546,0.0182074717137131
247,3557,0.0694405397807141
1990,15270,0.130320890635232
926,10829,0.0855111275279342
3889,22042,0.176435895109337
556,6209,0.0895474311483331
102,847,0.120425029515939
6817,34424,0.198030443876365
824,10012,0.0823012385137835
6,1395,0.0043010752688172
953,6443,0.14791246313829
3590,16948,0.211824404059476
255,14934,0.0170751305745279
7938,234303,0.0338792076926032
549,25465,0.0215590025525231
60,15886,0.00377691048722145
215,23893,0.00899845142928891
171,18218,0.00938632122077067
15656,395763,0.0395590290148397
568,29701,0.0191239352210363
1205,171634,0.00702075346376592
164,14854,0.0110407970916925
45,11806,0.00381162120955446
16136,602714,0.0267722335966976
234,17638,0.0132668102959519
513,17166,0.029884655714785
279,17445,0.0159931212381771
446,17254,0.0258490784745566
404,22192,0.0182047584715213
3102,435085,0.00712964133445189
213,14793,0.0143987020888258
246,14811,0.0166092768887989
427,16335,0.0261401897765534
421,16327,0.0257855086666258
212,20791,0.0101967197345005
338,20893,0.0161776671612502
68,20656,0.00329202168861348
179,29687,0.00602957523495133
51,20518,0.00248562238034896
80,8886,0.00900292595093405
5931,1147783,0.005167353062382
436,12901,0.0337958297806372
4000,647091,0.00618151079214515
61,11946,0.00510631173614599
1173,307910,0.00380955474002144
119,18550,0.00641509433962264
382,21133,0.0180759948895093
534,13780,0.0387518142235123
150,10108,0.0148397309062129
95,6634,0.0143201688272535
434,23099,0.0187886921511754
344,43632,0.00788412174550788
800,55078,0.0145248556592469
441,13930,0.0316582914572864
426,13865,0.0307248467363866
421,13812,0.0304807413843035
293,14657,0.0199904482499829
373,32318,0.0115415557893434
964,96227,0.0100179783220926
590,39314,0.0150073765070967
22905,1195814,0.0191543166412168
413,25000,0.01652
553,69548,0.00795134295738195
210,18001,0.0116660185545247
639,62954,0.0101502684499794
130,6818,0.01906717512467
399,14652,0.0272317772317772
1700,78254,0.0217241291180004
69,12276,0.00562072336265885
86,12268,0.00701010759700033
98,11681,0.00838969266329938
82,14646,0.0055987983067049
32,4987,0.00641668337677963
5271,874311,0.00602874720780134
129,15972,0.00807663410969196
362,44800,0.00808035714285714
551,16868,0.0326654019445103
238,7239,0.0328774692637105
535,18552,0.0288378611470461
4543,553130,0.00821325908918337
2478,362043,0.00684449084777223
120,6725,0.0178438661710037
117,6721,0.0174081237911025
2844,521621,0.00545223447675611
129,15930,0.00809792843691149
181,12047,0.015024487424255
6,379,0.0158311345646438
226,24654,0.00916686947351343
2526,371931,0.00679158230962195
186,14640,0.0127049180327869
85,27062,0.00314093562929569
88,17534,0.00501882057716437
80,17463,0.00458111435606711
852,32755,0.0260112959853458
1113,135830,0.00819406611205183
92,17664,0.00520833333333333
3522,744886,0.00472824029448802
99,13485,0.00734149054505006
13141,618643,0.0212416531020314
50,14991,0.00333533453405377
324,11859,0.0273210220086011
264,11896,0.0221923335574983
3185,614519,0.00518291541840041
192,15609,0.0123005958101096
54,6402,0.0084348641049672
61,8824,0.00691296464188577
147,19432,0.00756484149855908
231,6463,0.0357419155191088
15557,1629386,0.00954776830045183
86,10618,0.00809945375776983
619,21005,0.029469174006189
107,19798,0.00540458632185069
442,26183,0.0168811824466257
138,18848,0.00732173174872666
300,10158,0.0295333727111636
61,19883,0.00306794749283307
5174,1028420,0.00503101845549484
333,9342,0.035645472061657
109,17313,0.0062958470513487
44,13464,0.00326797385620915
60,10816,0.00554733727810651
45,5699,0.00789612212668889
69,14057,0.00490858646937469
1284,269990,0.00475573169376644
36,9588,0.00375469336670839
79,14021,0.00563440553455531
3768,801044,0.00470386146079366
318,15300,0.0207843137254902
41,14267,0.00287376463166748
411,14802,0.027766518038103
9549,1863351,0.00512463835316052
57,13473,0.00423068358940102
34,10640,0.00319548872180451
264,14092,0.0187340334941811
58,17297,0.0033531826328265
110,15971,0.00688748356395968
7229,1228393,0.0058849244500742
32,13929,0.00229736520927561
53,14061,0.00376929094658986
31,9434,0.00328598685605258
1820,206088,0.00883117891386204
18,1542,0.0116731517509728
255,18175,0.0140302613480055
15412,1475182,0.010447524441052
31,10692,0.00289936401047512
62,15897,0.00390010693841605
314,16789,0.0187027220203705
33986,1468862,0.0231376398872052
335,29417,0.0113879729408165
145,16856,0.00860227812055055
74,12154,0.00608853052493006
238,17655,0.0134806003964882
111,19802,0.00560549439450561
113,16946,0.00666824029269444
83,18657,0.00444873237926784
50,25010,0.00199920031987205
11312,2883701,0.00392273678859216
57,18042,0.00315929497838377
52,16933,0.00307092659304317
55,11507,0.00477969931346137
133,19011,0.00699594971332386
73,8264,0.00883349467570184
55,13466,0.00408436061191148
1185,230825,0.00513375934149247
107,9398,0.0113854011491807
31,15520,0.00199742268041237
236,25060,0.00941739824421389
229,41896,0.00546591560053466
19,13353,0.00142290122069947
24,7117,0.00337220739075453
69,17735,0.00389061178460671
16085,3537390,0.00454713786153068
33,11267,0.0029289074287743
75,16485,0.00454959053685168
66,13264,0.00497587454764777
88,13769,0.00639116856707096
11,608,0.0180921052631579
264,6853,0.0385232744783307
2,859,0.00232828870779977
164,11288,0.0145287030474841
69,13515,0.00510543840177581
1115,241293,0.00462093802969833
34,18681,0.00182003104758846
485,29241,0.0165863000581375
5734,1436923,0.00399047130569975
46,13306,0.00345708702840824
42,17745,0.00236686390532544
46,11635,0.00395358831113021
320,18596,0.0172080017208002
58,18764,0.00309102536772543
31,14187,0.0021850990343272
80,19389,0.00412605085357677
94,25419,0.00369802116527007
91,20400,0.00446078431372549
198,14412,0.0137385512073272
179,16699,0.010719204742799
65,11671,0.00556935995201782
171,4154,0.0411651420317766
210,24599,0.00853693239562584
6,1679,0.00357355568790947
88,21668,0.00406128853609009
22,13161,0.00167160550110174
91,21644,0.00420439844760673
86,11096,0.00775054073540014
89,13749,0.00647319805076733
55,22991,0.00239224044191205
33,9616,0.00343178036605657
6123,1308999,0.00467762007457607
45,11270,0.00399290150842946
51,18530,0.00275229357798165
43,13027,0.00330083672372764
62,14329,0.00432688952474004
80,17292,0.0046264168401573
185,21998,0.00840985544140376
327,16638,0.0196538045438154
148,19024,0.00777964676198486
68,16460,0.00413122721749696
162,16346,0.00991068151229659
3685,705603,0.00522248346449774
402,16486,0.0243843260948684
115,17336,0.00663359483156438
923,37976,0.0243048240994312
83,3405,0.0243759177679883
54,2133,0.0253164556962025
201,23381,0.008596723835593
73,11383,0.00641307212509883
15796,2845763,0.0055507081931981
94,12200,0.00770491803278689
26,16738,0.00155335165491696
91,15764,0.00577264653641208
34,23719,0.00143344997681184
28,4444,0.0063006300630063
28,15693,0.00178423500923979
39,15542,0.00250932955861537
50,14302,0.0034960145434205
29406,5295444,0.00555307543616739
41,12821,0.00319787848061774
72,21653,0.003325174340738
104,18756,0.00554489230113031
68,17398,0.00390849522933671
133,14437,0.00921244025767126
61,16141,0.00377919583668918
66,15726,0.00419687142312095
380,15216,0.0249737118822292
655,23210,0.0282205945713055
856,52001,0.0164612218995789
1567,281116,0.00557421135758904
600,23881,0.0251245760227796
76,5925,0.0128270042194093
530,46789,0.0113274487593238
297,19685,0.0150876301752604
32,21108,0.00151601288610953
123,19190,0.00640958832725378
30,16472,0.00182127246236037
3,4413,0.000679809653297077
43,14049,0.00306071606520037
288,23887,0.0120567672792732
283,19699,0.0143662114828164
31,5990,0.00517529215358932
98,16354,0.00599241775712364
187,28626,0.00653252288129672
151,11170,0.0135183527305282
99,13489,0.0073393135147157
62,20573,0.00301365867885092
8543,2059098,0.00414890403467926
144,26708,0.0053916429534222
92,24911,0.00369314760547549
102,17817,0.00572486950665095
673,152395,0.00441615538567538
49,21514,0.00227758668773822
194,11902,0.0162997815493194
225,14973,0.0150270486876377
284,24929,0.0113923542861727
188,12069,0.0155770983511476
4619,1137730,0.00405983845024742
61,13336,0.00457408518296341
109,11079,0.00983843307157686
71,21339,0.00332724120155584
380,34605,0.0109810720994076
139,13241,0.010497696548599
3671,703538,0.00521791289169881
42,12630,0.00332541567695962
111,23912,0.00464202074272332
71,16208,0.00438055281342547
115,13964,0.00823546261816099
218,28951,0.00752996442264516
6903,1748101,0.00394885650199845
40,22853,0.00175031724500066
76,21427,0.00354692677463014
511,98865,0.00516866434026197
43,6229,0.00690319473430727
290,15436,0.0187872505830526
8921,1609903,0.00554132764520595
26,9867,0.00263504611330698
289,14722,0.0196304849884527
8,4115,0.00194410692588092
31,7518,0.00412343708433094
575,60104,0.00956675096499401
100,21410,0.00467071461933676
54,11209,0.00481755732001071
159,19963,0.00796473475930471
26,3380,0.00769230769230769
312,26416,0.0118110236220472
900,14773,0.0609219522101131
145,2666,0.0543885971492873
497,7546,0.0658627087198516
624,9320,0.0669527896995708
542,9166,0.059131573205324
703,9422,0.0746126087879431
476,6583,0.072307458605499
353,5102,0.0691885535084281
330,5483,0.0601860295458691
204,4992,0.0408653846153846
258,5293,0.0487436236538825
415,5978,0.0694212111073938
234,4124,0.056741028128031
264,3220,0.0819875776397516
397,5561,0.0713900377629923
353,5784,0.061030428769018
289,3854,0.0749870264660093
134,3115,0.0430176565008026
107,2450,0.0436734693877551
137,3450,0.0397101449275362
112,2520,0.0444444444444444
158,3203,0.0493287542928505
1056,17919,0.0589318600368324
566,9669,0.0585375943737718
465,9562,0.0486299937251621
383,9310,0.0411385606874329
446,7617,0.058553236182224
463,7414,0.0624494200161856
385,6727,0.0572320499479709
276,6983,0.0395245596448518
1019,14291,0.0713036176614653
320,7675,0.0416938110749186
291,7261,0.0400771243630354
338,7209,0.0468858371480094
325,7262,0.0447535114293583
355,7017,0.0505914208351147
322,6912,0.0465856481481482
205,4882,0.0419909873002868
234,4424,0.0528933092224232
263,6866,0.0383046897757064
196,4896,0.0400326797385621
248,5458,0.0454378893367534
274,6532,0.0419473361910594
216,5184,0.0416666666666667
160,4585,0.0348964013086151
386,6103,0.063247583155825
254,6345,0.0400315208825847
268,6355,0.0421715184893785
285,6243,0.0456511292647766
273,6212,0.043947198969736
350,5735,0.0610287707061901
207,5168,0.0400541795665635
270,5850,0.0461538461538462
221,5273,0.0419116252607624
187,5030,0.0371769383697813
172,3443,0.0499564333430148
98,1800,0.0544444444444444
388,6713,0.0577983018024728
391,7195,0.0543432939541348
183,5343,0.034250421111735
269,5223,0.051502967643117
164,4380,0.0374429223744292
477,7424,0.0642510775862069
422,7059,0.0597818387873637
136,3705,0.0367071524966262
537,7673,0.0699856640166819
217,4113,0.0527595429127158
192,3402,0.0564373897707231
254,5393,0.0470980901168181
241,4787,0.0503446835178609
214,4432,0.0482851985559567
