NM,length,ratio
106,29365,0.00360973948578239
822,41186,0.0199582382362939
26,3317,0.00783840820018089
695,12259,0.0566930418468064
897,33041,0.0271480887382343
333,24488,0.0135984972231297
56,4108,0.0136319376825706
365,32363,0.0112783116521954
66,9448,0.00698560541913633
279,23835,0.0117054751415985
229,14405,0.0158972578965637
442,71509,0.00618104014879246
3421,143856,0.0237807251696141
2503,403642,0.00620103953503352
2968,262080,0.0113247863247863
168,112115,0.0014984614012398
4351,22272,0.195357399425287
4207,19670,0.213879003558719
510,4731,0.107799619530755
1741,8395,0.20738534842168
5788,234729,0.0246582228868184
2770,602375,0.00459846441170367
729,30224,0.0241199047114876
4199,760723,0.00551974897564554
994,284413,0.00349491760221931
3652,1350542,0.00270409953929608
324,20198,0.0160411921972473
393,20161,0.0194930807003621
416,20109,0.0206872544631757
524,20029,0.0261620650057417
619,19966,0.0310027045978163
435,27440,0.0158527696793003
106,5141,0.0206185567010309
98,5452,0.0179750550256787
566,78044,0.00725231920455128
387,23622,0.0163830327660655
177,19849,0.00891732580986448
781,67718,0.0115331226557193
466,61902,0.00752802817356467
203,11058,0.0183577500452161
387,14685,0.0263534218590398
534,29752,0.0179483732186072
563,16450,0.0342249240121581
542,16418,0.033012547204288
116,8185,0.0141722663408674
376,24689,0.0152294544128964
65,4166,0.0156024963994239
8827,2068982,0.00426634934475022
257,36576,0.00702646544181977
1054,95267,0.011063642184597
717,66232,0.0108255827998551
251,25746,0.00974908723685233
3886,1115309,0.00348423620718563
323,31443,0.0102725566898833
316,31104,0.0101594650205761
13275,1195458,0.0111045306485046
99,12421,0.00797037275581676
5665,1723847,0.00328625452258814
4808,1572877,0.00305681881037106
224,17204,0.0130202278539874
16694,2623562,0.00636310481703882
370,43639,0.00847865441462912
281,17639,0.0159306083111288
216,26559,0.00813283632666893
84,21232,0.00395629238884702
372,27519,0.0135179330644282
296,22607,0.0130932896890344
7220,1094818,0.00659470341189129
169,27654,0.00611123164822449
80,29849,0.00268015678917217
16177,5297484,0.00305371380074013
203,16772,0.0121035058430718
60,9384,0.00639386189258312
21,3821,0.00549594347029573
122,16230,0.00751694393099199
227,33082,0.0068617375007557
154,10417,0.0147835269271383
223,15446,0.0144373947947689
164,13100,0.0125190839694657
157,22508,0.00697529767193887
6861,1635255,0.00419567590375813
653,86592,0.00754111234294161
769,98006,0.00784645838009918
1208,69527,0.0173745451407367
5104,1422294,0.00358856888941386
8334,2255119,0.00369559211731177
65,20555,0.00316224762831428
653,16933,0.038563751254946
3110,984595,0.00315865914411509
25,8080,0.00309405940594059
31,8071,0.00384091190682691
304,26675,0.0113964386129335
1436,153761,0.0093391692301689
571,51670,0.0110508999419392
541,43482,0.0124419299940205
1028,55600,0.0184892086330935
489,36924,0.0132434189145271
408,30848,0.0132261410788382
565,29434,0.0191954882109126
