NM,length,ratio
32,2776,0.0115273775216138
141,5209,0.0270685352274909
1165,12326,0.0945156579587863
686,13371,0.05130506319647
24,1658,0.014475271411339
98,19717,0.00497033017193285
171,14531,0.0117679443947423
619,73224,0.00845351250955971
373,32396,0.0115137671317447
97,18518,0.00523814666810671
758,52120,0.0145433614735226
184,53643,0.00343008407434334
150,28966,0.00517848512048609
161,28012,0.00574753676995573
363,45376,0.00799982369534556
395,47259,0.00835819632239362
1083,100910,0.010732335744723
344,58640,0.00586630286493861
634,237983,0.00266405583592105
264,69534,0.00379670377081715
557,157090,0.00354573811191037
162,64552,0.00250960465980915
150,48134,0.0031163003282503
413,22555,0.0183107958324097
193,42305,0.0045621084978135
953,12520,0.0761182108626198
380,66011,0.00575661632152217
1431,156358,0.00915207408639148
482,102387,0.00470762889819997
17,6951,0.00244569126744353
161,53309,0.0030201279333696
680,60779,0.0111880748284769
867,154375,0.00561619433198381
751,178757,0.00420123407754661
1852,402552,0.00460064786661102
342,67223,0.00508754444163456
192,43733,0.00439027736491894
6357,373734,0.0170094238147988
1300,435740,0.00298343048606967
617,237790,0.00259472643929518
188,50960,0.00368916797488226
812,253301,0.00320567230291235
1219,417706,0.00291832054124193
4994,758913,0.00658046442741131
633,8704,0.0727251838235294
804,13532,0.0594147206621342
356,18005,0.0197722854762566
458,9374,0.0488585449114572
163,46261,0.00352348630595966
439,42636,0.0102964630828408
206,23490,0.00876968922945935
80,7597,0.0105304725549559
988,139907,0.0070618339325409
942,15048,0.0625996810207337
460,9637,0.0477326968973747
46,4891,0.0094050296462891
661,24166,0.0273524786890673
289,17893,0.0161515676521545
400,17484,0.022878059940517
720,29658,0.0242767550070807
320,29652,0.0107918521516255
581,27558,0.0210828071703317
499,18405,0.0271121977723445
52869,1349938,0.0391640208661435
1395,467041,0.00298688980196599
132,22855,0.00577554145701159
634,12476,0.0508175697338891
649,75470,0.00859944348747847
100,9268,0.0107898144151921
454,35220,0.0128904031800114
322,30101,0.010697319025946
26,2238,0.0116175156389634
289,25509,0.0113293347445999
166,25400,0.00653543307086614
1012,303151,0.00333827036691286
514,7549,0.0680884885415287
1250,31509,0.0396712050525247
298,93676,0.00318117767624578
1338,360460,0.00371192365310991
4818,850926,0.00566206697174608
252,255232,0.000987337011033099
3890,734066,0.00529925102102536
28341,759686,0.0373062028259044
2215,529048,0.00418676566209493
406,9933,0.0408738548273432
4415,524652,0.00841510181987298
1067,746500,0.00142933690555928
1037,522227,0.00198572651356594
2594,1060629,0.00244571853117348
3075,1354408,0.00227036461686582
3129,1113996,0.00280880721295229
1198,621047,0.00192900054263204
599,18029,0.0332242498197349
29,3613,0.0080265707168558
1084,226644,0.0047828312242989
1636,1542974,0.00106029006321558
560,25788,0.0217155266015201
2552,1395062,0.00182930937836455
596,17725,0.0336248236953456
1671,548398,0.00304705706439484
8255,1785412,0.00462358268007608
532,15492,0.0343403046733798
2403,792085,0.00303376531559113
1433,360028,0.00398024598086815
161,5419,0.0297102786491973
41080,2480500,0.0165611771820198
219,94641,0.00231400767109392
1208,670171,0.00180252502719455
29,16630,0.00174383644016837
191,20511,0.00931207644678465
370,18314,0.0202031232936551
3068,992051,0.0030925829418044
6928,2701530,0.00256447272471525
445,149223,0.00298211401727616
860,13512,0.0636471284783896
103,2452,0.0420065252854812
23209,1231090,0.0188523990934863
4260,1740306,0.00244784537891612
45,2963,0.015187310158623
110,4069,0.0270336692061932
219,33541,0.00652932232193435
1826,37791,0.0483183826837078
138,44811,0.00307960099082815
2572,618075,0.00416130728471464
6711,2283781,0.00293854796059692
507,97240,0.00521390374331551
3835,1256980,0.00305096342026126
145,22168,0.00654095994225911
444,18522,0.0239714933592485
312,25549,0.012211828251595
3541,1605432,0.00220563686285062
1419,180388,0.00786637692085948
483,22639,0.0213348646141614
2175,269223,0.00807880455978873
536,10248,0.0523028883684621
582,237061,0.00245506430834258
491,6815,0.0720469552457814
42,2472,0.0169902912621359
591,6439,0.0917844385774189
674,8440,0.0798578199052133
1011,13762,0.0734631594245023
377,8634,0.0436645818855687
851,12021,0.0707927793028866
1156,14626,0.0790373307808013
369,6595,0.0559514783927218
462,61488,0.00751366120218579
638,7044,0.0905735377626349
204,1660,0.12289156626506
737,8016,0.0919411177644711
454,5409,0.0839341837677944
191,1117,0.170993733213966
372,8491,0.0438110940996349
469,11167,0.0419987463060804
168,8548,0.0196537201684605
117,6305,0.0185567010309278
53,2912,0.0182005494505495
133,1826,0.0728368017524644
107,4795,0.0223149113660063
114,6306,0.0180780209324453
434,8277,0.052434456928839
117,6307,0.0185508165530363
175,6250,0.028
533,8679,0.0614126051388409
144,1576,0.0913705583756345
32,1442,0.0221914008321775
104,2980,0.0348993288590604
647,50410,0.0128347550089268
626,133502,0.00468906832856437
340,111854,0.00303967672144045
236,15321,0.0154036942758306
171,10311,0.0165842304335176
27,6346,0.00425464859754176
671,27007,0.0248454104491428
444,14414,0.0308033855973359
151,5637,0.0267872982082668
499,45876,0.0108771470921615
280,35867,0.00780661889759389
389,10019,0.0388262301626909
114,62754,0.00181661726742518
514,27040,0.019008875739645
337,27142,0.0124161815636283
425,11655,0.0364650364650365
541,43141,0.0125402749124962
164,59992,0.00273369782637685
250,19547,0.0127896863968895
97,22922,0.00423174243085246
1049,401938,0.00260985525130742
736,73300,0.0100409276944065
116,15034,0.00771584408673673
233,31282,0.00744837286618503
450,21666,0.020769869842149
319,87725,0.00363636363636364
2568,902007,0.00284698455776951
583,44013,0.0132460863835685
354,61481,0.00575787641710447
358,73093,0.0048978698370569
1291,216870,0.00595287499423618
287,51394,0.00558430945246527
354,38369,0.00922619823294847
230,32242,0.00713355250914956
2999,983151,0.0030503961242983
19191,894109,0.0214638259988435
479,246035,0.00194687747678176
841,26731,0.0314615988926714
2149,847864,0.00253460460639914
32452,1087753,0.0298339788536552
604,25145,0.0240206800556771
15629,405799,0.0385141412374106
351,30991,0.0113258688006195
239,7329,0.0326101787419839
1207,611416,0.00197410600965627
276,6105,0.0452088452088452
2471,1077330,0.00229363333426155
601,21340,0.0281630740393627
526,14598,0.0360323331963283
265,14926,0.0177542543213185
7799,2836323,0.00274968683044914
290,14927,0.0194278823608227
4062,2015920,0.00201496091114727
610,21708,0.0281002395430256
135,24675,0.00547112462006079
4242,1816237,0.00233559827269239
556,31061,0.0179002607771804
5425,2056445,0.00263804769882005
641,25063,0.0255755496149703
484,83126,0.00582248634602892
329,55021,0.0059795350866033
360,15548,0.023154103421662
226,15407,0.0146686571039138
313,22680,0.0138007054673721
2241,945280,0.00237072613405552
1581,424857,0.00372125209188033
3898,1761728,0.0022126003560141
3027,1438129,0.00210481813522987
270,18661,0.0144686779915331
360,18404,0.019560965007607
1257,630563,0.00199345664112864
29,2790,0.0103942652329749
2076,1078252,0.00192533841810634
1310,561213,0.00233422960622794
695,29944,0.0232099919850387
236,28139,0.00838693628060699
889,21636,0.0410889258643002
499,21516,0.0231920431306934
3155,1223238,0.00257922007001091
117,28320,0.00413135593220339
691,12097,0.0571216003967926
631,223734,0.00282031340788615
573,39286,0.0145853484701929
2837,997369,0.00284448383697508
458,21399,0.0214028692929576
2337,995570,0.00234739897747019
195,25536,0.00763627819548872
751,317176,0.00236777057532726
4425,1271704,0.00347958329925832
175,7336,0.0238549618320611
2463,622072,0.00395934875705706
2560,813073,0.00314854877729306
2735,493422,0.00554292269092177
1217,253771,0.00479566223090897
593,77353,0.00766615386604269
694,146127,0.00474929342284451
1601,323829,0.00494396734078789
330,43242,0.00763146940474539
1826,62373,0.0292754877911917
402,100625,0.00399503105590062
363,31537,0.0115102895012208
460,131380,0.00350129395646217
359,91446,0.00392581414167924
2645,359523,0.00735697020774749
3134,187248,0.0167371614116039
1176,87493,0.0134410752860229
397,25123,0.015802252915655
597,47741,0.0125049747596406
932,90686,0.0102772202986128
2059,530214,0.00388333767120446
2394,135833,0.0176245831278114
1315,241731,0.00543993116315243
114,9106,0.0125192180979574
2037,684657,0.00297521240562793
2057,922997,0.00222860962711688
1624,265961,0.00610615842172349
55999,2438083,0.0229684551346283
104,11824,0.0087956698240866
47620,1720897,0.0276716154424117
389,24978,0.015573704860277
343,24994,0.0137232935904617
422,24823,0.0170003625669742
935,24886,0.0375713252431086
381,24587,0.0154959938178712
2727,1356037,0.00201100707429075
10260,2876917,0.00356631769355876
421,21186,0.0198716133295573
452,28306,0.0159683459337243
303,8597,0.0352448528556473
1,957,0.00104493207941484
6624,1981182,0.00334345860198609
3170,1034942,0.00306297357726327
9,1779,0.00505902192242833
30,3296,0.00910194174757281
4485,1616088,0.00277522016127835
427,26511,0.0161065218211309
247,27915,0.00884828945011643
2038,1253137,0.00162631859086437
12631,2830101,0.0044630915999111
4534,1584880,0.00286078441270002
277,14353,0.0192991012331917
327,17508,0.0186771761480466
11403,1772944,0.0064316752249366
3515,1201050,0.00292660588651597
628,26050,0.0241074856046065
6587,2409788,0.00273343547233201
385,123258,0.00312352950721251
177,13072,0.0135403916768666
148,25233,0.0058653350770816
433,28791,0.0150394220416102
246,84077,0.00292588936332172
15,4231,0.00354526116757268
9,736,0.0122282608695652
274,72112,0.00379964499667184
78,57901,0.00134712699262534
5,1069,0.00467726847521048
168,17020,0.00987074030552291
214,20922,0.0102284676417169
276,12164,0.0226899046366327
242,34071,0.00710281471045757
380,212232,0.00179049342229259
411,12541,0.0327725061797305
2720,452677,0.00600869935958752
51,7735,0.00659340659340659
9,1719,0.00523560209424084
152,1481,0.102633355840648
47,9917,0.004739336492891
1556,64381,0.0241686211770553
56,6769,0.00827300930713547
530,4659,0.113758317235458
2327,32308,0.0720255045190046
725,9212,0.0787016934433348
790,15214,0.0519258577625871
379,8750,0.0433142857142857
75,1968,0.038109756097561
19,5596,0.00339528234453181
562,3391,0.165732822176349
136,31340,0.00433950223356733
542,13318,0.0406968013215197
1632,37319,0.0437310753235617
762,38038,0.0200325989799674
542,20775,0.0260890493381468
571,4192,0.136211832061069
240,4842,0.0495662949194548
517,7912,0.0653437815975733
499,14559,0.0342743320282986
32,13388,0.00239020017926501
396,51509,0.00768797685841309
305,61176,0.00498561527396365
757,43383,0.0174492312657032
150,142130,0.00105537184267924
537,322611,0.00166454336646922
299,98860,0.00302447906129881
404,188166,0.00214704037923961
1069,86145,0.0124093098844971
720,83876,0.00858410033859507
1121,52520,0.0213442498095963
130,30963,0.00419855957110099
386,32627,0.0118306923713489
30,3250,0.00923076923076923
1798,999798,0.00179836326938041
286,25248,0.0113276299112801
704,12784,0.0550688360450563
748,31772,0.0235427420370137
424,34490,0.0122934183821398
373,4520,0.0825221238938053
53,2880,0.0184027777777778
179,10424,0.0171719109746738
165,46788,0.00352654526801744
207,19825,0.0104413619167718
395,9686,0.040780507949618
267,25920,0.0103009259259259
204,37539,0.0054343482777911
536,78245,0.00685027797303342
266,5991,0.0443999332331831
293,8780,0.033371298405467
257,29455,0.00872517399422848
324,11742,0.0275932549821155
479,24027,0.0199359054397137
685,33288,0.020577986061043
325,30538,0.0106424782238523
51,3684,0.0138436482084691
497,16526,0.0300738230666828
56,5035,0.0111221449851043
180,21121,0.00852232375361015
734,15330,0.0478799739073712
4180,1869395,0.00223601753508488
88,181214,0.000485613694306179
213,33893,0.00628448352167114
635,26458,0.0240003023660141
2626,1253708,0.00209458661825561
233,12502,0.0186370180771077
1902,823751,0.00230895015605444
38,6441,0.00589970501474926
1847,473603,0.00389989083684014
3095,1098047,0.00281864073213624
670,15460,0.0433376455368693
81,33120,0.00244565217391304
332,41425,0.008014484007242
355,241241,0.001471557488155
118,34295,0.0034407348009914
463,19139,0.0241914415591201
358,19289,0.0185598009228057
