match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
50104,111.0,262,38459.0,715,50215,0.002210494872050184,0.0052175644727671016,342.0
36601,78.0,174,176438.0,329,36679,0.0021265574306824067,0.004743858883829984,77.0
174182,493.0,683,440979.0,1411,174675,0.0028223844282238442,0.003910118792042365,235.0
43050,358.0,60,88106.0,469,43408,0.008247327681533358,0.0013822336896424621,51.0
379336,530.0,321,278118.0,1291,379866,0.0013952288438554648,0.0008450348280709514,440.0
254932,305.0,300,26275.0,948,255237,0.0011949678142275611,0.0011753781779287485,343.0
839134,10730.0,10979,3342121.0,26910,849864,0.012625549499684655,0.012918537554243973,5201.0
261593,292.0,274,109333.0,937,261885,0.001114993222215858,0.0010462607633121407,371.0
1601864,1848.0,1638,7460490.0,5376,1603712,0.0011523266022827041,0.0010213803974778513,1890.0
691603,612.0,742,494833.0,2026,692215,0.0008841183736266911,0.0010719212961290928,672.0
986584,707.0,356,634484.0,1794,987291,0.0007161009266771398,0.000360582644833185,731.0
168599,230.0,462,760.0,1472,168829,0.0013623251929467093,0.002736496691919042,780.0
22197,23.0,78,0.0,115,22220,0.0010351035103510352,0.0035103510351035105,14.0
12270,54.0,81,0.0,152,12324,0.004381694255111977,0.006572541382667965,17.0
98596,61.0,118,16916.0,347,98657,0.0006183038203067192,0.0011960631278064406,168.0
136068,176.0,120,224493.0,492,136244,0.0012918000058718183,0.0008807727312762397,196.0
112063,152.0,81,0.0,473,112215,0.0013545426190794457,0.0007218286325357573,240.0
34407,56.0,108,3.0,191,34463,0.0016249310855119983,0.003133795664915997,27.0
55968,43.0,168,0.0,227,56011,0.0007677063433968327,0.0029994108300155325,16.0
50223,56.0,307,0.0,396,50279,0.0011137850792577418,0.00610592891664512,33.0
29725,159.0,144,0.0,345,29884,0.005320572881809664,0.004818632043903092,42.0
39969,22.0,30,0.0,67,39991,0.0005501237778500163,0.0007501687879772949,15.0
754783,309.0,216,436707.0,926,755092,0.00040922165775825995,0.0002860578578504341,401.0
562178,490.0,540,223713.0,1614,562668,0.0008708510169407181,0.0009597133656081383,584.0
137196,81.0,196,2.0,446,137277,0.0005900478594374877,0.0014277701290092296,169.0
203160,159.0,62,156078.0,454,203319,0.0007820223392796541,0.0003049395285241419,233.0
42540,20.0,105,0.0,228,42560,0.00046992481203007516,0.0024671052631578946,103.0
12449,0.0,3,6047.0,17,12449,0.0,0.00024098321150293196,14.0
63683,339.0,247,449919.0,837,64022,0.005295054824903939,0.003858048795726469,251.0
34870,510.0,690,54954.0,2456,35380,0.014414923685698135,0.01950254381006218,1256.0
26360,505.0,779,40596.0,2251,26865,0.018797692164526335,0.028996836032011912,967.0
22234,301.0,567,139698.0,1640,22535,0.01335700022187708,0.02516086088307078,772.0
339233,28.0,116,435270.0,186,339261,8.253232761796965e-05,0.00034191964298873137,42.0
37409,3.0,43,8444.0,454,37412,8.018817491713889e-05,0.0011493638404789907,408.0
63608,530.0,800,0.0,3826,64138,0.008263431974804327,0.012473104867629174,2496.0
36001,308.0,162,36134.0,1162,36309,0.008482745324850587,0.00446170370982401,692.0
4870,158.0,67,6629.0,511,5028,0.031424025457438345,0.013325377883850438,286.0
73750,185.0,534,0.0,2331,73935,0.0025021978765131536,0.0072225603570703996,1612.0
6925,267.0,52,17624.0,796,7192,0.03712458286985539,0.007230255839822024,477.0
61259,151.0,222,10.0,2377,61410,0.002458882918091516,0.00361504640937958,2004.0
13929,16.0,78,11737.0,483,13945,0.0011473646468268196,0.005593402653280745,389.0
11299,127.0,206,35219.0,547,11426,0.01111500087519692,0.018029056537720987,214.0
23462,12.0,15,19562.0,451,23474,0.0005112038851495271,0.0006390048564369089,424.0
15795,4.0,13,45748.0,403,15799,0.0002531805810494335,0.0008228368884106589,386.0
12227,49.0,172,7755.0,518,12276,0.003991528185076572,0.01401107852720756,297.0
7308,339.0,32,19397.0,820,7647,0.04433111023930953,0.004184647574212109,449.0
21895,347.0,359,21522.0,1643,22242,0.015601115007643197,0.016140634834996854,937.0
7337,172.0,8,49522.0,658,7509,0.02290584631775203,0.0010653882008256758,478.0
4959,171.0,3,24533.0,486,5130,0.03333333333333333,0.0005847953216374269,312.0
4939,3.0,6,24344.0,306,4942,0.0006070416835289356,0.0012140833670578712,297.0
4657,6.0,5,17719.0,296,4663,0.0012867252841518336,0.001072271070126528,285.0
2574,2.0,1,19824.0,137,2576,0.0007763975155279503,0.00038819875776397513,134.0
2574,2.0,1,55586.0,134,2576,0.0007763975155279503,0.00038819875776397513,131.0
2574,1.0,1,34432.0,126,2575,0.0003883495145631068,0.0003883495145631068,124.0
2574,2.0,1,32528.0,134,2576,0.0007763975155279503,0.00038819875776397513,131.0
2574,2.0,1,31514.0,134,2576,0.0007763975155279503,0.00038819875776397513,131.0
2574,2.0,1,26094.0,135,2576,0.0007763975155279503,0.00038819875776397513,132.0
2574,2.0,1,24452.0,135,2576,0.0007763975155279503,0.00038819875776397513,132.0
2534,1.0,30,46110.0,158,2535,0.0003944773175542406,0.011834319526627219,127.0
2568,2.0,1,23665.0,124,2570,0.0007782101167315176,0.0003891050583657588,121.0
2561,2.0,3,44710.0,124,2563,0.0007803355442840422,0.0011705033164260631,119.0
2557,2.0,7,17067.0,126,2559,0.0007815552950371239,0.0027354435326299334,117.0
2567,3.0,1,27819.0,129,2570,0.0011673151750972762,0.0003891050583657588,125.0
2547,9.0,7,26378.0,144,2556,0.0035211267605633804,0.0027386541471048514,128.0
3890,6.0,3,24570.0,238,3896,0.001540041067761807,0.0007700205338809035,229.0
2565,8.0,8,16217.0,129,2573,0.003109211037699184,0.003109211037699184,113.0
2558,6.0,3,156281.0,126,2564,0.00234009360374415,0.001170046801872075,117.0
2557,6.0,4,22825.0,127,2563,0.0023410066328521262,0.0015606710885680843,117.0
4937,175.0,7,20878.0,491,5112,0.03423317683881064,0.0013693270735524257,309.0
2558,6.0,3,34285.0,126,2564,0.00234009360374415,0.001170046801872075,117.0
70908,501.0,334,54861.0,1038,71409,0.007015922362727387,0.004677281575151591,203.0
30073,12.0,10,28054.0,66,30085,0.00039886986870533487,0.00033239155725444574,44.0
35982,12.0,9,0.0,47,35994,0.0003333888981496916,0.0002500416736122687,26.0
2993,168.0,230,19771.0,603,3161,0.053147738057576714,0.07276178424549193,205.0
42838,935.0,1260,19267.0,4003,43773,0.021360199209558405,0.028784867384003838,1808.0
1378468,796.0,562,3744934.0,1784,1379264,0.0005771193912115447,0.00040746369078001023,426.0
1288876,543.0,676,2896384.0,2286,1289419,0.0004211198997377889,0.0005242671311652768,1067.0
36896,5.0,15,0.0,20,36901,0.00013549768298962088,0.0004064930489688626,0.0
1151502,140.0,129,366443.0,288,1151642,0.00012156555596270368,0.00011201397656563412,19.0
81821,21.0,113,0.0,181,81842,0.00025659196989320885,0.0013807091713301238,47.0
110338,121.0,150,30780.0,569,110459,0.0010954290732307914,0.0013579699254927169,298.0
38714,8.0,132,0.0,154,38722,0.0002066008987139094,0.0034089148287795054,14.0
321361,305.0,57,16403.0,405,321666,0.0009481884936549091,0.0001772024397978027,43.0
1274907,943.0,1002,5750750.0,2861,1275850,0.0007391150997374299,0.0007853587804208959,916.0
20714,65.0,42,87932.0,181,20779,0.0031281582366812647,0.0020212714760094327,74.0
654378,327.0,243,88082.0,883,654705,0.0004994615895708754,0.0003711595298645955,313.0
768126,697.0,400,2269743.0,1704,768823,0.0009065805783645911,0.0005202757982006262,607.0
2832132,1615.0,1312,13227951.0,5659,2833747,0.0005699167921483463,0.0004629912268102975,2732.0
1144972,930.0,595,6684426.0,2647,1145902,0.0008115877273972817,0.0005192416105391211,1122.0
895983,695.0,763,6414669.0,2359,896678,0.0007750831402130977,0.000850918612924595,901.0
354155,2355.0,2600,2185229.0,6277,356510,0.006605705309808981,0.007292923059661721,1322.0
40332,629.0,622,57802.0,1425,40961,0.015356070408437294,0.015185176143160567,174.0
