match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
29666,480,606,89457.0,1509,30146,0.015922510449147484,0.020102169442048696,423
10088,51,377,14633.0,509,10139,0.005030081862116579,0.037183154157214716,81
61955,781,388,124350.0,1508,62736,0.01244899260392757,0.006184646773782198,339
289760,1288,1313,137479.0,3012,291048,0.004425386877765867,0.004511283362194552,411
82704,1388,544,158626.0,2116,84092,0.01650573181753318,0.006469105265661418,184
44343,1464,559,60017.0,2428,45807,0.03196018075839937,0.012203375030017246,405
90200,1615,1158,164263.0,3357,91815,0.017589718455590046,0.012612318248652181,584
41292,365,100,71835.0,627,41657,0.008762032791607652,0.002400556929207576,162
110168,164,427,79496.0,723,110332,0.0014864227966501105,0.003870137403473154,132
146588,685,597,94869.0,1536,147273,0.0046512259545198375,0.0040536961968588945,254
665835,836,778,984768.0,2492,666671,0.0012539918490529812,0.0011669924145493054,878
574881,485,301,1654123.0,1089,575366,0.0008429417101462373,0.0005231452675340566,303
76334,58,72,0.0,139,76392,0.0007592418054246518,0.000942507068803016,9
28394,18,51,0.0,87,28412,0.0006335351260030972,0.001795016190342109,18
21796,7,28,0.0,40,21803,0.00032105673531165435,0.0012842269412466174,5
18057,185,10,0.0,196,18242,0.010141431860541608,0.000548185505975222,1
1222174,431,692,412433.0,1607,1222605,0.00035252595891559414,0.0005660045558459191,484
3210439,1278,1359,8099378.0,4390,3211717,0.00039791799837906016,0.000423138153205902,1753
3255746,1869,1419,23642226.0,5252,3257615,0.0005737326234070018,0.00043559475260274773,1964
1579891,2186,2216,979230.0,5937,1582077,0.0013817279437094401,0.0014006903583074655,1535
208327,259,177,0.0,580,208586,0.0012416940734277467,0.0008485708532691552,144
67975,95,296,0.0,693,68070,0.0013956221536653446,0.004348464815630968,302
2221927,816,953,634222.0,3019,2222743,0.0003671139668418706,0.00042874952254939056,1250
51737,47,21,12768.0,89,51784,0.0009076162521242082,0.00040553066584273135,21
127154,195,81,0.0,326,127349,0.0015312252157457067,0.0006360473973097551,50
172109,77,159,5.0,295,172186,0.00044719082852264413,0.0009234200225337716,59
25915,5,15,0.0,24,25920,0.00019290123456790122,0.0005787037037037037,4
675566,449,347,494208.0,1216,676015,0.0006641864455670363,0.0005133022196253041,420
2360057,34881,33962,2010087.0,85034,2394938,0.014564468892305353,0.01418074288353185,16191
34996,7,18,0.0,262,35003,0.00019998285861211896,0.000514241636431163,237
84346,20,66,1189.0,771,84366,0.00023706232368489677,0.0007823056681601593,685
13060,10,4,14941.0,99,13070,0.0007651109410864575,0.000306044376434583,85
466969,84,444,197206.0,1034,467053,0.00017985110897478443,0.0009506415760095749,506
2257279,605,267,3529563.0,1093,2257884,0.0002679499921165126,0.00011825231057042789,221
1291406,583,317,1480710.0,1678,1291989,0.0004512422319385072,0.0002453581261140768,778
867628,550,414,161119.0,1387,868178,0.0006335106395232315,0.0004768607359320324,423
3138536,2323,2347,26273119.0,6853,3140859,0.0007396065853322292,0.0007472478070489634,2183
14324,120,53,20932.0,239,14444,0.008307947936859596,0.003669343672112988,66
1604827,406,260,9384775.0,1073,1605233,0.0002529227844182122,0.0001619702560313674,407
793052,1830,1298,1587117.0,3856,794882,0.002302228506872718,0.0016329467770058953,728
47033,113,158,9856.0,375,47146,0.0023968099096423876,0.003351291732066347,104
2314719,1132,1295,1841182.0,3610,2315851,0.0004888051951528834,0.0005591896888012225,1183
102200,20,155,0.0,205,102220,0.00019565642731363725,0.0015163373116806886,30
25752,20,125,0.0,156,25772,0.0007760360080707744,0.004850225050442341,11
2719028,1426,760,12204326.0,2834,2720454,0.0005241772145384557,0.0002793651353781391,648
116536,111,150,0.0,309,116647,0.000951588982142704,0.0012859310569496001,48
497312,233,554,43178.0,1112,497545,0.0004682993498075551,0.0011134671235767618,325
75507,435,409,9000.0,1165,75942,0.005728055621395276,0.005385689078507282,321
1221691,791,735,4005609.0,2308,1222482,0.000647044291858694,0.0006012358464173705,782
271966,81,174,116929.0,622,272047,0.0002977426694652027,0.0006395953640363613,367
1307450,1125,962,1355732.0,3442,1308575,0.0008597138108247521,0.0007351508320119213,1355
1387456,4337,3272,8306443.0,9699,1391793,0.0031161243087154482,0.00235092431130204,2090
241565,330,180,111500.0,817,241895,0.0013642282808656648,0.0007441245168358172,307
137061,28,40,0.0,91,137089,0.0002042468761169751,0.0002917812515956787,23
442120,241,177,127016.0,712,442361,0.0005448039045033355,0.0004001256891995452,294
375026,164,152,305400.0,424,375190,0.00043711186332258325,0.000405128068445321,108
752204,248,226,633072.0,781,752452,0.0003295891299378565,0.0003003513845401434,307
26270,365,496,1059.0,1135,26635,0.01370377323071147,0.018622113760090108,274
