match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
6022,3,12.0,18705,56,6025,0.0004979253112033195,0.001991701244813278,41.0
30463,135,239.0,3,1009,30598,0.004412053075364403,0.00781096803712661,635.0
4016,405,132.0,13821,797,4421,0.09160823343135037,0.029857498303551232,260.0
4012,513,136.0,34212,900,4525,0.11337016574585636,0.03005524861878453,251.0
7076,94,309.0,12501,1136,7170,0.013110181311018132,0.04309623430962343,733.0
7103,17,177.0,23209,979,7120,0.0023876404494382023,0.024859550561797752,785.0
6847,168,83.0,13471,951,7015,0.023948681397006413,0.011831789023521026,700.0
6831,181,99.0,31617,978,7012,0.025812892184826013,0.014118653736451797,698.0
6810,181,120.0,46348,989,6991,0.025890430553568874,0.017164926333857817,688.0
6793,283,78.0,31948,1040,7076,0.03999434708875071,0.011023176936122103,679.0
6790,289,81.0,6930,1046,7079,0.04082497527899421,0.011442294109337477,676.0
6746,23,118.0,33366,875,6769,0.0033978431082877826,0.017432412468606884,734.0
6781,86,84.0,17911,872,6867,0.012523663899810689,0.012232415902140673,702.0
6235,11,142.0,45162,812,6246,0.0017611271213576688,0.022734550112071726,659.0
6384,21,211.0,27386,885,6405,0.003278688524590164,0.03294301327088212,653.0
5715,23,19.0,54651,630,5738,0.004008365284071105,0.0033112582781456954,588.0
5686,18,242.0,32030,862,5704,0.003155680224403927,0.042426367461430574,602.0
146,15,0.0,12184,16,161,0.09316770186335403,0.0,1.0
15211,315,215.0,21163,839,15526,0.02028854824165915,0.013847739276053072,309.0
17539,279,213.0,8620,794,17818,0.015658323044112694,0.011954203614322595,302.0
14856,163,200.0,34450,567,15019,0.010852919635128837,0.013316465809974034,204.0
23381,237,87.0,13566,589,23618,0.010034719281903633,0.0036836311288000675,265.0
