match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
16536,77.0,341.0,3802.0,1549,16613,0.004634924456750737,0.020526094022753266,1131.0
5723,16.0,179.0,0.0,309,5739,0.0027879421502003832,0.031190102805366788,114.0
1029,0.0,0.0,0.0,8,1029,0.0,0.0,8.0
963,1.0,1.0,0.0,8,964,0.001037344398340249,0.001037344398340249,6.0
1579,13.0,9.0,0.0,44,1592,0.008165829145728644,0.005653266331658292,22.0
493,0.0,0.0,0.0,2,493,0.0,0.0,2.0
1178,0.0,3.0,0.0,17,1178,0.0,0.0025466893039049238,14.0
838,0.0,2.0,0.0,9,838,0.0,0.002386634844868735,7.0
9199,76.0,66.0,2041.0,519,9275,0.008194070080862533,0.007115902964959568,377.0
712,4.0,23.0,0.0,41,716,0.00558659217877095,0.03212290502793296,14.0
321,0.0,23.0,0.0,27,321,0.0,0.07165109034267912,4.0
282,1.0,10.0,0.0,15,283,0.0035335689045936395,0.0353356890459364,4.0
19424,417.0,579.0,3031.0,2756,19841,0.02101708583236732,0.029181996875157504,1760.0
927,0.0,4.0,0.0,8,927,0.0,0.004314994606256742,4.0
6966,5.0,432.0,0.0,559,6971,0.0007172572084349448,0.06197102280877923,122.0
17537,8.0,29.0,529.0,329,17545,0.0004559703619264748,0.001652892561983471,292.0
24961,22.0,69.0,0.0,475,24983,0.0008805988071888884,0.002761878077092423,384.0
594,0.0,0.0,0.0,5,594,0.0,0.0,5.0
592,1.0,1.0,0.0,6,593,0.0016863406408094434,0.0016863406408094434,4.0
466,0.0,1.0,0.0,1,466,0.0,0.002145922746781116,0.0
271,0.0,0.0,0.0,1,271,0.0,0.0,1.0
841,0.0,0.0,0.0,6,841,0.0,0.0,6.0
15211,229.0,282.0,6925.0,1073,15440,0.01483160621761658,0.018264248704663213,562.0
15526,241.0,429.0,415.0,1198,15767,0.015285089110166804,0.027208727088222237,528.0
8831,45.0,73.0,6226.0,328,8876,0.005069851284362326,0.008224425416854439,210.0
24629,882.0,1694.0,154.0,3098,25511,0.034573321312375054,0.06640272823487907,522.0
28014,441.0,853.0,31991.0,2390,28455,0.015498154981549815,0.029977156914426286,1096.0
