match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
4357,7.0,89.0,16.0,288,4364,0.0016040329972502293,0.020394133822181484,192.0
8244,92.0,194.0,7153.0,328,8336,0.011036468330134356,0.023272552783109406,42.0
4710,8.0,405.0,6661.0,430,4718,0.001695633743111488,0.08584145824501907,17.0
4775,17.0,340.0,6679.0,374,4792,0.0035475792988313858,0.0709515859766277,17.0
815,7.0,9.0,0.0,25,822,0.00851581508515815,0.010948905109489052,9.0
15554,16.0,85.0,0.0,129,15570,0.0010276172125883109,0.005459216441875401,28.0
4215,8.0,30.0,22.0,82,4223,0.001894387875917594,0.007103954534690978,44.0
37638,485.0,301.0,3557.0,842,38123,0.0127219788579073,0.007895496157175459,56.0
25020,297.0,574.0,33017.0,1034,25317,0.01173124777817277,0.02267251254098037,163.0
5661,82.0,211.0,2.0,332,5743,0.014278251784781473,0.03674037959254745,39.0
10335,35.0,186.0,0.0,282,10370,0.0033751205400192863,0.01793635486981678,61.0
10845,83.0,173.0,268.0,341,10928,0.007595168374816984,0.015830893118594435,85.0
6513,17.0,44.0,0.0,80,6530,0.0026033690658499235,0.006738131699846861,19.0
33328,211.0,824.0,14569.0,1316,33539,0.006291183398431676,0.02456841289245356,281.0
61298,1218.0,1199.0,87836.0,2857,62516,0.0194830123488387,0.019179090152920852,440.0
29553,46.0,678.0,7031.0,814,29599,0.0015541065576539748,0.022906179262812933,90.0
32624,787.0,677.0,156.0,1579,33411,0.023555116578372393,0.02026278770464817,115.0
14221,28.0,486.0,21732.0,553,14249,0.001965050178959927,0.034107656677661594,39.0
9533,396.0,54.0,0.0,478,9929,0.03988317051062544,0.005438614160539833,28.0
13082,32.0,54.0,0.0,98,13114,0.002440140308067714,0.004117736769864267,12.0
22435,450.0,166.0,0.0,730,22885,0.019663535066637535,0.007253659602359624,114.0
21115,820.0,480.0,0.0,1375,21935,0.037383177570093455,0.021882835650786414,75.0
17595,497.0,398.0,30797.0,1011,18092,0.02747070528410347,0.02199867344682733,116.0
11408,23.0,309.0,0.0,382,11431,0.002012072434607646,0.02703175575190272,50.0
36697,415.0,222.0,30426.0,759,37112,0.011182366889415823,0.0059818926492778614,122.0
27282,223.0,299.0,13086.0,634,27505,0.008107616796946009,0.010870750772586802,112.0
10952,42.0,82.0,1306.0,158,10994,0.003820265599417864,0.00745861378933964,34.0
7973,15.0,78.0,0.0,107,7988,0.0018778167250876315,0.009764646970455683,14.0
25634,59.0,771.0,16291.0,905,25693,0.0022963453080605614,0.03000817343245242,75.0
92802,259.0,1263.0,17667.0,1764,93061,0.002783120748756192,0.013571743265170157,242.0
60147,563.0,657.0,53382.0,1587,60710,0.009273595783231758,0.010821940372261571,367.0
44129,410.0,528.0,0.0,1328,44539,0.009205415478569344,0.01185477895776735,390.0
15850,114.0,405.0,9602.0,742,15964,0.007141067401653721,0.02536958155850664,223.0
83556,498.0,725.0,5937.0,1591,84054,0.005924762652580484,0.008625407476146287,368.0
