match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
18311,298.0,475.0,0.0,854,18609,0.016013756784351657,0.02552528346499006,81.0
320,1.0,0.0,0.0,1,321,0.003115264797507788,0.0,0.0
13396,168.0,63.0,0.0,335,13564,0.012385726924211147,0.00464464759657918,104.0
13397,132.0,62.0,0.0,292,13529,0.00975681868578609,0.004582748170596496,98.0
13767,134.0,128.0,0.0,359,13901,0.009639594273793252,0.009207970649593554,97.0
13004,147.0,81.0,0.0,337,13151,0.011177857197171319,0.006159227435176032,109.0
103,4.0,2.0,0.0,6,107,0.037383177570093455,0.018691588785046728,0.0
18489,356.0,524.0,5255.0,981,18845,0.018890952507296364,0.027805784027593525,101.0
17415,130.0,36.0,12006.0,213,17545,0.007409518381305215,0.0020518666286691366,47.0
4011,1.0,23.0,0.0,27,4012,0.0002492522432701894,0.005732801595214357,3.0
16777,11.0,63.0,8.0,96,16788,0.0006552299261377174,0.0037526804860614723,22.0
2593,4.0,22.0,0.0,45,2597,0.0015402387370042356,0.008471313053523296,19.0
4161,20.0,68.0,255.0,114,4181,0.004783544606553456,0.016264051662281752,26.0
607,1.0,5.0,0.0,6,608,0.001644736842105263,0.008223684210526315,0.0
546,1.0,2.0,0.0,4,547,0.0018281535648994515,0.003656307129798903,1.0
37129,273.0,412.0,3924.0,928,37402,0.007299074915779905,0.011015453719052458,243.0
22702,195.0,112.0,6177.0,424,22897,0.008516399528322487,0.004891470498318557,117.0
45186,62.0,809.0,75218.0,1169,45248,0.0013702263083451203,0.017879243281471006,298.0
19163,97.0,161.0,0.0,268,19260,0.005036344755970924,0.008359293873312565,10.0
21446,361.0,161.0,1378.0,621,21807,0.016554317421011603,0.007382950428761407,99.0
18248,352.0,493.0,5821.0,1030,18600,0.0189247311827957,0.02650537634408602,185.0
55088,355.0,249.0,1200.0,621,55443,0.00640297242212723,0.004491098966506141,17.0
18473,378.0,130.0,12924.0,542,18851,0.02005198663200891,0.006896185878733223,34.0
8931,2.0,52.0,732.0,59,8933,0.00022388895108026418,0.005821112728086869,5.0
5027,3.0,18.0,424.0,22,5030,0.0005964214711729623,0.0035785288270377734,1.0
13605,41.0,279.0,10808.0,362,13646,0.00300454345595779,0.020445551810054228,42.0
1823,2.0,19.0,0.0,23,1825,0.001095890410958904,0.010410958904109589,2.0
219202,434.0,1020.0,439483.0,1787,219636,0.0019759966490010745,0.004644047423919576,333.0
16726,27.0,120.0,93.0,180,16753,0.0016116516444815855,0.007162896197695935,33.0
66581,70.0,579.0,0.0,819,66651,0.00105024680799988,0.008687041454741865,170.0
202084,357.0,614.0,59850.0,1232,202441,0.0017634767660701142,0.0030329824492074235,261.0
262364,767.0,1573.0,115850.0,2748,263131,0.002914897902565642,0.0059780109527193676,408.0
17458,28.0,95.0,0.0,177,17486,0.0016012810248198558,0.005432917762781654,54.0
47233,457.0,232.0,230.0,949,47690,0.009582721744600545,0.0048647515202348505,260.0
35861,29.0,239.0,4409.0,375,35890,0.0008080245193647256,0.006659236556143772,107.0
15370,60.0,95.0,1368.0,176,15430,0.0038885288399222295,0.006156837329876863,21.0
82173,125.0,439.0,157566.0,616,82298,0.0015188704464264016,0.005334273007849523,52.0
64722,307.0,341.0,48.0,732,65029,0.004720970643866583,0.005243814298236171,84.0
20635,97.0,186.0,2496.0,320,20732,0.00467875747636504,0.008971638047462859,37.0
10275,323.0,333.0,2669.0,1688,10598,0.03047744857520287,0.031421022834497075,1032.0
11490,234.0,291.0,4057.0,1278,11724,0.019959058341862845,0.02482088024564995,753.0
7399,83.0,274.0,691.0,1378,7482,0.011093290564020315,0.03662122427158514,1021.0
16346,361.0,563.0,919.0,2144,16707,0.021607709343388997,0.03369844975160113,1220.0
9946,531.0,522.0,286.0,1764,10477,0.05068244726543858,0.04982342273551589,711.0
7309,50.0,125.0,2994.0,295,7359,0.006794401413235494,0.016986003533088736,120.0
19389,673.0,663.0,243.0,2936,20062,0.03354600737713089,0.03304755258698036,1600.0
23360,1607.0,1458.0,36425.0,5903,24967,0.06436496174950936,0.05839708415107942,2838.0
13304,251.0,676.0,1194.0,1706,13555,0.01851715234230911,0.04987089634821099,779.0
9703,10.0,117.0,4137.0,211,9713,0.0010295480284155255,0.01204571193246165,84.0
9640,13.0,180.0,4527.0,277,9653,0.0013467315860354295,0.01864705272972133,84.0
9381,16.0,175.0,5264.0,231,9397,0.0017026710652335852,0.01862296477599234,40.0
17301,301.0,378.0,1403.0,1637,17602,0.017100329508010454,0.021474832405408477,958.0
