match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
8055,19.0,19.0,0.0,40,8074,0.002353232598464206,0.002353232598464206,2.0
17429,28.0,105.0,0.0,147,17457,0.0016039411124477286,0.006014779171678982,14.0
5408,26.0,41.0,0.0,71,5434,0.004784688995215311,0.007545086492454913,4.0
4900,24.0,36.0,0.0,61,4924,0.00487408610885459,0.007311129163281885,1.0
6674,20.0,133.0,0.0,166,6694,0.002987750224081267,0.019868538990140423,13.0
27413,56.0,185.0,0.0,265,27469,0.0020386617641705196,0.0067348647566347515,24.0
11400,57.0,147.0,0.0,372,11457,0.004975124378109453,0.012830583922492799,168.0
4758,20.0,34.0,0.0,60,4778,0.004185851820845542,0.007115948095437421,6.0
23867,41.0,118.0,0.0,352,23908,0.0017149071440522002,0.004935586414589259,193.0
58322,82.0,307.0,0.0,918,58404,0.0014040134237381001,0.005256489281556058,529.0
7967,28.0,59.0,0.0,144,7995,0.0035021888680425266,0.007379612257661038,57.0
23273,32.0,135.0,0.0,378,23305,0.0013730959021669169,0.005792748337266681,211.0
29044,210.0,165.0,0.0,721,29254,0.007178505503520886,0.0056402543241949816,346.0
32298,54.0,195.0,0.0,536,32352,0.0016691394658753709,0.006027448071216617,287.0
20984,39.0,117.0,0.0,312,21023,0.0018551110688293773,0.005565333206488132,156.0
22555,35.0,148.0,7680.0,423,22590,0.0015493581230633024,0.006551571491810536,240.0
26993,34.0,83.0,0.0,363,27027,0.001258001258001258,0.003071003071003071,246.0
19515,23.0,63.0,0.0,264,19538,0.0011771931620431979,0.0032244856177704984,178.0
34177,71.0,167.0,2659.0,499,34248,0.0020731137584676478,0.004876197150198552,261.0
39096,101.0,152.0,0.0,581,39197,0.002576727810801847,0.003877847794474067,328.0
34291,53.0,221.0,0.0,665,34344,0.0015432098765432098,0.006434894013510366,391.0
12602,25.0,78.0,48.0,272,12627,0.0019798843747525145,0.006177239249227845,169.0
47195,206.0,170.0,13015.0,814,47401,0.004345899875530052,0.003586422227379169,438.0
19035,38.0,82.0,80.0,277,19073,0.001992345200020972,0.004299271221097887,157.0
26932,39.0,104.0,0.0,361,26971,0.0014459975529272182,0.0038559934744725817,218.0
12791,28.0,146.0,0.0,319,12819,0.0021842577424136048,0.011389343942585225,145.0
18030,41.0,96.0,0.0,291,18071,0.00226882850976703,0.0053123789496984115,154.0
12651,64.0,167.0,0.0,504,12715,0.0050334250884781755,0.013134093590247739,273.0
