match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
75127,339.0,490,8146.0,1036,75466,0.004492089152731031,0.006492990220761667,207.0
5259,4.0,148,2260.0,219,5263,0.0007600228006840206,0.02812084362530876,67.0
36049,152.0,430,0.0,681,36201,0.00419877903925306,0.011878124913676418,99.0
44797,352.0,377,11853.0,869,45149,0.007796407450884848,0.008350129570976101,140.0
30435,260.0,288,1669.0,681,30695,0.008470434924254765,0.009382635608405278,133.0
37015,228.0,637,0.0,926,37243,0.006121955803775206,0.017103885293880728,61.0
69194,457.0,858,101396.0,1488,69651,0.006561284116523812,0.01231855967609941,173.0
46676,600.0,361,90125.0,1107,47276,0.012691429054911583,0.007636009814705136,146.0
57482,947.0,686,0.0,1833,58429,0.01620770507795786,0.01174074517790823,200.0
141043,887.0,592,94522.0,1762,141930,0.00624955964207708,0.004171070245895864,283.0
15801,267.0,28,0.0,330,16068,0.016616878267363706,0.0017425939756036844,35.0
140194,64.0,430,131244.0,663,140258,0.00045630195782058776,0.003065778779107074,169.0
171357,136.0,263,137011.0,482,171493,0.0007930352842390069,0.0015335902923151383,83.0
486085,590.0,1639,374919.0,2750,486675,0.0012123080084245133,0.0033677505522165716,521.0
644998,884.0,2431,1212982.0,4204,645882,0.001368671057561598,0.0037638454082943944,889.0
356059,340.0,866,2142956.0,1588,356399,0.0009539869640487207,0.0024298609143123297,382.0
194776,108.0,432,635182.0,878,194884,0.0005541758174093307,0.002216703269637323,338.0
14464,17.0,70,0.0,99,14481,0.0011739520751329329,0.0048339203093709,12.0
5091,1.0,20,0.0,25,5092,0.00019638648860958367,0.003927729772191673,4.0
23284,25.0,279,11493.0,341,23309,0.0010725470848170235,0.011969625466557983,37.0
142261,256.0,275,0.0,628,142517,0.0017962769353831473,0.0019295943641811151,97.0
27807,27.0,128,7960.0,234,27834,0.0009700366458288424,0.00459869224689229,79.0
1053378,881.0,2755,1170017.0,4417,1054259,0.000835658030901325,0.0026132098469161752,781.0
1626051,1454.0,3477,2667266.0,6262,1627505,0.0008933920325897616,0.002136398966516232,1331.0
39004,33.0,250,349.0,307,39037,0.0008453518456848631,0.0064041806491277505,24.0
934256,928.0,2799,177742.0,5055,935184,0.0009923180892744102,0.002992993892111071,1328.0
1349750,658.0,2430,5004469.0,3980,1350408,0.00048726014656311277,0.001799456164359216,892.0
20468,15.0,166,2690.0,230,20483,0.0007323146023531709,0.00810428159937509,49.0
471691,405.0,917,696674.0,1790,472096,0.0008578763641293296,0.0019424015454483834,468.0
16671,16.0,51,0.0,85,16687,0.00095883022712291,0.003056271348954276,18.0
48323,112.0,453,0.0,849,48435,0.002312377413027769,0.009352740786621246,284.0
266791,69.0,440,774009.0,865,266860,0.0002585625421569362,0.0016488046166529267,356.0
15901,2.0,107,0.0,121,15903,0.00012576243476073698,0.006728290259699427,12.0
81412,94.0,691,119865.0,1225,81506,0.0011532893283930016,0.008477903467229406,440.0
11373,0.0,28,0.0,31,11373,0.0,0.0024619713356194496,3.0
2040334,7158.0,10284,6967159.0,22172,2047492,0.003495984355494429,0.005022730247541871,4730.0
18387,32.0,218,12.0,284,18419,0.0017373364460611326,0.011835604538791466,34.0
23481,29.0,411,339.0,648,23510,0.001233517652062952,0.01748192258613356,208.0
21045,91.0,657,15.0,1076,21136,0.004305450416351249,0.03108440575321726,328.0
22802,9.0,91,461.0,118,22811,0.00039454649072815745,0.00398930340625137,18.0
447784,89.0,557,486454.0,841,447873,0.00019871704702002576,0.0012436561257320713,195.0
531215,119.0,1391,0.0,1770,531334,0.0002239645872464401,0.002617938998821833,260.0
1250455,819.0,3901,4418328.0,5908,1251274,0.0006545329000682504,0.003117622519128504,1188.0
699528,170.0,750,52340.0,1154,699698,0.00024296196359000597,0.0010718910158382616,234.0
238289,3241.0,4088,73246.0,9166,241530,0.013418622945389806,0.016925433693537034,1837.0
123136,192.0,614,73250.0,1318,123328,0.0015568240788790867,0.0049785936689154126,512.0
878844,804.0,1699,1670731.0,3819,879648,0.0009140019644221324,0.001931454399941795,1316.0
31537,23.0,262,11.0,343,31560,0.0007287705956907478,0.008301647655259823,58.0
14692,6.0,60,4385.0,70,14698,0.0004082188052796299,0.004082188052796299,4.0
930196,793.0,2227,3442673.0,3754,930989,0.0008517823518860051,0.0023920798204919713,734.0
23666,22.0,234,12102.0,311,23688,0.0009287402904424181,0.009878419452887538,55.0
333575,3046.0,3730,11203.0,8427,336621,0.009048752157470865,0.01108071094792066,1651.0
800050,749.0,2405,3083453.0,4753,800799,0.000935315853291525,0.0030032505035595698,1599.0
311465,370.0,1342,64384.0,2156,311835,0.001186524925040486,0.004303557971363061,444.0
25898,22.0,186,41454.0,612,25920,0.0008487654320987654,0.007175925925925926,404.0
19375,6.0,93,0.0,127,19381,0.00030958154893968317,0.00479851400856509,28.0
36071,46.0,257,10.0,412,36117,0.0012736384528061577,0.007115762660243099,109.0
5659,4.0,85,0.0,134,5663,0.0007063393960798164,0.015009712166696098,45.0
115368,144.0,471,220055.0,1344,115512,0.001246623727404945,0.004077498441720341,729.0
182188,400.0,515,160967.0,1031,182588,0.002190724472583083,0.0028205577584507198,116.0
139304,96.0,470,35743.0,739,139400,0.0006886657101865136,0.0033715925394548064,173.0
28959,15.0,879,0.0,998,28974,0.0005177055290950507,0.030337544004969973,104.0
779125,1056.0,2529,1914503.0,4673,780181,0.0013535320649951741,0.003241555485201511,1088.0
5830,12.0,88,0.0,109,5842,0.0020540910647038686,0.015063334474495036,9.0
98376,262.0,492,46657.0,891,98638,0.0026561771325452664,0.004987935684016302,137.0
