match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
15973,189.0,352.0,7381.0,1047,16162,0.011694097265189952,0.02177948273728499,506.0
26255,877.0,743.0,9.0,1839,27132,0.0323234556980687,0.027384638065752618,219.0
62756,1091.0,968.0,98346.0,2551,63847,0.017087725343399064,0.015161244850971855,492.0
41561,573.0,392.0,17906.0,1212,42134,0.01359946836284236,0.009303650258698438,247.0
89619,413.0,1270.0,4093.0,1927,90032,0.0045872578638706234,0.014106095610449619,244.0
68584,991.0,786.0,63856.0,2064,69575,0.014243621990657564,0.011297161336687029,287.0
71886,270.0,327.0,106924.0,837,72156,0.003741892566106769,0.004531847663395976,240.0
11141,6.0,63.0,12114.0,102,11147,0.0005382614156275231,0.005651744864088992,33.0
11141,6.0,63.0,12068.0,102,11147,0.0005382614156275231,0.005651744864088992,33.0
11141,6.0,63.0,12128.0,104,11147,0.0005382614156275231,0.005651744864088992,35.0
11134,3.0,70.0,5094.0,107,11137,0.0002693723623956182,0.006285355122564425,34.0
20242,188.0,56.0,6983.0,371,20430,0.009202153695545766,0.002741067058247675,127.0
27715,725.0,789.0,5207.0,1637,28440,0.02549226441631505,0.027742616033755274,123.0
28344,74.0,476.0,22170.0,637,28418,0.002603983390808642,0.016749947216552888,87.0
11093,0.0,31.0,5967.0,38,11093,0.0,0.0027945551248535114,7.0
9598,6.0,169.0,5150.0,195,9604,0.0006247396917950854,0.01759683465222824,20.0
72492,96.0,572.0,105416.0,909,72588,0.0013225326500247974,0.007880090373064419,241.0
55054,511.0,1221.0,0.0,2127,55565,0.009196436605777018,0.02197426437505624,395.0
91575,1041.0,2149.0,265419.0,3617,92616,0.011239958538481472,0.02320333419711497,427.0
270944,343.0,879.0,345939.0,1702,271287,0.0012643436655645128,0.003240111026330049,480.0
17792,0.0,15.0,0.0,15,17792,0.0,0.0008430755395683453,0.0
99348,62.0,313.0,78480.0,670,99410,0.0006236797102907153,0.003148576601951514,295.0
124643,53.0,179.0,101959.0,395,124696,0.00042503368191441584,0.0014354911143901969,163.0
53233,37.0,55.0,0.0,140,53270,0.000694574807584006,0.0010324760653275765,48.0
213302,263.0,599.0,129974.0,1295,213565,0.0012314751949055324,0.0028047666986631705,433.0
206323,126.0,298.0,0.0,672,206449,0.0006103202243653396,0.001443455768737073,248.0
149899,119.0,118.0,0.0,410,150018,0.0007932381447559626,0.0007865722779933074,173.0
30328,19.0,190.0,0.0,240,30347,0.0006260915411737569,0.006260915411737569,31.0
134389,97.0,327.0,130565.0,616,134486,0.0007212646669541811,0.0024314798566393526,192.0
225258,204.0,363.0,106890.0,711,225462,0.0009048087926125023,0.0016100274103840115,144.0
545478,475.0,812.0,111872.0,1966,545953,0.0008700382633669931,0.0014873075154821019,679.0
341204,346.0,592.0,71058.0,1226,341550,0.0010130288391157955,0.0017332747767530377,288.0
39667,2.0,28.0,0.0,35,39669,5.041720234944163e-05,0.0007058408328921829,5.0
302965,73.0,486.0,335309.0,748,303038,0.0002408938812954151,0.0016037592645146814,189.0
527347,585.0,526.0,490855.0,1539,527932,0.0011080972549495011,0.000996340437783654,428.0
186388,439.0,398.0,150585.0,1027,186827,0.002349767431902241,0.0021303130703806193,190.0
22879,10.0,63.0,0.0,124,22889,0.0004368910830529949,0.002752413823233868,51.0
95164,110.0,124.0,0.0,400,95274,0.0011545647290971304,0.0013015093309822197,166.0
111936,17.0,373.0,0.0,585,111953,0.0001518494368172358,0.003331755290166409,195.0
116402,12.0,173.0,0.0,322,116414,0.00010308038552064184,0.0014860755579225867,137.0
15096,3.0,6.0,0.0,30,15099,0.00019868865487780648,0.00039737730975561295,21.0
136851,51.0,319.0,0.0,411,136902,0.00037252925450322126,0.0023301339644417173,41.0
145873,56.0,105.0,0.0,270,145929,0.0003837482611406917,0.000719527989638797,109.0
396978,597.0,552.0,39124.0,1590,397575,0.0015016034710431995,0.001388417279758536,441.0
163011,91.0,312.0,0.0,624,163102,0.0005579330725558239,0.0019129133916199678,221.0
133074,28.0,76.0,0.0,174,133102,0.0002103649832459317,0.000570990668810386,70.0
134427,89.0,150.0,0.0,434,134516,0.0006616313301019953,0.0011151089833179697,195.0
1016619,881.0,1889.0,0.0,3790,1017500,0.0008658476658476658,0.0018565110565110566,1020.0
512478,318.0,502.0,183845.0,1367,512796,0.000620129642196897,0.0009789467936567368,547.0
79345,55.0,99.0,0.0,323,79400,0.0006926952141057934,0.0012468513853904281,169.0
16454,0.0,13.0,0.0,33,16454,0.0,0.0007900814391637291,20.0
304791,196.0,379.0,0.0,1047,304987,0.0006426503424736136,0.0012426759173341814,472.0
71281,11.0,39.0,0.0,107,71292,0.0001542950120630646,0.0005470459518599562,57.0
333890,192.0,674.0,0.0,1508,334082,0.0005747092031297706,0.0020174687651534655,642.0
13362,1.0,8.0,0.0,20,13363,7.483349547257353e-05,0.0005986679637805882,11.0
172674,35.0,243.0,0.0,490,172709,0.00020265301750343063,0.001406990950095247,212.0
73587,21.0,26.0,0.0,115,73608,0.0002852950766221063,0.0003532224758178459,68.0
35803,11.0,51.0,0.0,87,35814,0.0003071424582565477,0.001424024124643994,25.0
296966,145.0,542.0,0.0,1078,297111,0.0004880330920093837,0.001824234040476455,391.0
86942,31.0,105.0,64615.0,182,86973,0.0003564324560495786,0.0012072712221034114,46.0
500247,115.0,701.0,0.0,1422,500362,0.00022983360047325736,0.0014009856863630731,606.0
778060,575.0,844.0,516714.0,2209,778635,0.0007384718128519781,0.0010839481913862078,790.0
60965,11.0,24.0,0.0,70,60976,0.00018039884544738914,0.00039359748097612176,35.0
26581,15.0,25.0,0.0,59,26596,0.0005639945856519777,0.0009399909760866295,19.0
114183,60.0,185.0,0.0,335,114243,0.0005251962921141777,0.0016193552340187144,90.0
301935,57.0,701.0,28183.0,1213,301992,0.00018874672176746405,0.0023212535431402156,455.0
213969,265.0,295.0,0.0,825,214234,0.001236965187598607,0.001376998982421091,265.0
245025,173.0,346.0,0.0,716,245198,0.0007055522475713505,0.001411104495142701,197.0
331953,108.0,367.0,0.0,777,332061,0.0003252414466016786,0.001105218619470519,302.0
222041,72.0,159.0,0.0,336,222113,0.00032415932430789735,0.0007158518411799399,105.0
155059,18.0,70.0,0.0,106,155077,0.00011607137099634375,0.0004513886649857813,18.0
506980,83.0,507.0,0.0,956,507063,0.00016368774688746762,0.0009998757550836877,366.0
149814,5.0,126.0,0.0,159,149819,3.337360414900647e-05,0.000841014824554963,28.0
19319,0.0,12.0,0.0,16,19319,0.0,0.0006211501630519178,4.0
117331,15.0,75.0,0.0,121,117346,0.00012782710957339832,0.0006391355478669917,31.0
28797,6.0,25.0,0.0,42,28803,0.00020831163420477033,0.0008679651425198764,11.0
68216,2.0,47.0,0.0,59,68218,2.9317775367205138e-05,0.0006889677211293207,10.0
51158,152.0,88.0,0.0,289,51310,0.002962385499902553,0.0017150652894172675,49.0
210621,29.0,82.0,0.0,166,210650,0.000137669119392357,0.0003892713031094232,55.0
187353,44.0,183.0,0.0,349,187397,0.0002347956477424932,0.000976536444019915,122.0
483839,341.0,671.0,869.0,1157,484180,0.0007042835309182536,0.001385848238258499,145.0
28315,5.0,31.0,0.0,41,28320,0.00017655367231638418,0.001094632768361582,5.0
96001,15.0,113.0,0.0,134,96016,0.00015622396267288784,0.0011768871854690884,6.0
240253,3.0,184.0,0.0,217,240256,1.2486680873734682e-05,0.0007658497602557273,30.0
289100,22.0,191.0,0.0,287,289122,7.609244540367042e-05,0.0006606207760045933,74.0
32369,2.0,24.0,0.0,29,32371,6.178369528281487e-05,0.0007414043433937783,3.0
21246,12.0,80.0,25624.0,202,21258,0.0005644933672029354,0.0037632891146862357,110.0
214119,12.0,156.0,0.0,250,214131,5.6040461212995786e-05,0.0007285259957689452,82.0
35016,11.0,55.0,0.0,96,35027,0.00031404345219402177,0.0015702172609701089,30.0
157239,13.0,130.0,0.0,288,157252,8.266985475542442e-05,0.0008266985475542442,145.0
39171,16.0,53.0,0.0,121,39187,0.00040829867047745424,0.0013524893459565673,52.0
562037,100.0,468.0,0.0,802,562137,0.00017789257778797697,0.0008325372640477321,234.0
201021,72.0,239.0,0.0,593,201093,0.0003580432934015605,0.001188504821152402,282.0
53204,130.0,135.0,0.0,356,53334,0.0024374695316308546,0.002531218359770503,91.0
355900,186.0,875.0,0.0,1502,356086,0.0005223457254708132,0.002457271557994417,441.0
255538,531.0,671.0,14574.0,1719,256069,0.0020736598338729016,0.0026203874736887324,517.0
317528,468.0,234.0,1497.0,907,317996,0.0014717166253663569,0.0007358583126831784,205.0
70083,17.0,87.0,0.0,217,70100,0.00024251069900142655,0.0012410841654778887,113.0
251392,136.0,521.0,220335.0,1376,251528,0.0005406952705066633,0.0020713399701027323,719.0
130808,34.0,213.0,114514.0,338,130842,0.00025985539811375553,0.0016279176411244096,91.0
400858,163.0,514.0,128091.0,910,401021,0.00040646250445737253,0.0012817283882888926,233.0
313094,140.0,236.0,0.0,487,313234,0.00044695020336234253,0.000753430342810806,111.0
60812,0.0,42.0,0.0,53,60812,0.0,0.0006906531605604157,11.0
191025,27.0,147.0,0.0,252,191052,0.00014132278123233464,0.000769424031153822,78.0
575076,663.0,553.0,0.0,1823,575739,0.0011515634688634955,0.000960504673124454,607.0
21363,21.0,6.0,0.0,41,21384,0.0009820426487093155,0.0002805836139169473,14.0
307791,236.0,532.0,0.0,1283,308027,0.0007661666022783717,0.0017271213237800582,515.0
81003,32.0,141.0,0.0,348,81035,0.00039489109643980994,0.0017399888936879126,175.0
555237,186.0,542.0,0.0,1246,555423,0.00033487990234469945,0.0009758328337141241,518.0
132094,99.0,255.0,0.0,492,132193,0.0007489050100988705,0.0019289977532849698,138.0
141923,120.0,319.0,42695.0,672,142043,0.0008448145983962603,0.0022457988074033918,233.0
854257,631.0,1166.0,190945.0,2760,854888,0.0007381083837882857,0.0013639213557799384,963.0
371752,134.0,389.0,0.0,913,371886,0.0003603254760867578,0.0010460194790876773,390.0
604413,1985.0,2444.0,0.0,5664,606398,0.00327342768280898,0.004030356300647429,1235.0
76931,9.0,54.0,0.0,73,76940,0.00011697426566155446,0.0007018455939693267,10.0
742118,494.0,801.0,0.0,1728,742612,0.000665219522442406,0.0010786251770776665,433.0
20035,23.0,61.0,0.0,99,20058,0.0011466746435337522,0.003041180576328647,15.0
319119,146.0,616.0,2053.0,1111,319265,0.0004573003617684369,0.001929431663351761,349.0
87991,45.0,146.0,10380.0,363,88036,0.0005111545276932164,0.0016584124676268799,172.0
267790,332.0,365.0,0.0,965,268122,0.0012382422926876572,0.0013613205928644423,268.0
79708,30.0,83.0,0.0,195,79738,0.0003762321603250646,0.0010409089768993454,82.0
106940,75.0,99.0,0.0,240,107015,0.0007008363313554174,0.0009251039573891511,66.0
82108,41.0,135.0,0.0,306,82149,0.0004990931112977638,0.0016433553664682468,130.0
