match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
135566,7.0,154.0,121596.0,236,135573,5.163269972634669e-05,0.0011359193939796271,75.0
363110,3893.0,5606.0,690666.0,12624,367003,0.010607542717634462,0.015275079495262982,3125.0
14322,2.0,61.0,0.0,68,14324,0.00013962580284836637,0.004258586986875174,5.0
72855,33.0,479.0,0.0,712,72888,0.00045274942377346067,0.006571726484469323,200.0
3670,0.0,3.0,73.0,7,3670,0.0,0.0008174386920980927,4.0
50128,17.0,65.0,13652.0,176,50145,0.00033901685113171804,0.0012962409013859805,94.0
68824,18.0,72.0,0.0,216,68842,0.000261468289706865,0.00104587315882746,126.0
191987,84.0,387.0,0.0,1099,192071,0.0004373382759500393,0.002014879914198395,628.0
142310,6.0,115.0,2.0,151,142316,4.215970094718795e-05,0.0008080609348211023,30.0
29846,22.0,53.0,0.0,84,29868,0.0007365742600776751,0.00177447435382349,9.0
95735,462.0,278.0,0.0,911,96197,0.004802644573115585,0.002889903011528426,171.0
18789,1.0,12.0,8.0,19,18790,5.321979776476849e-05,0.0006386375731772219,6.0
264189,93.0,503.0,0.0,1167,264282,0.0003518968374690671,0.001903269991902589,571.0
299062,90.0,335.0,118399.0,780,299152,0.00030085040380809755,0.0011198320586190298,355.0
397608,207.0,419.0,0.0,1023,397815,0.0005203423701972022,0.001053253396679361,397.0
110093,51.0,510.0,0.0,984,110144,0.0004630302149912841,0.004630302149912841,423.0
111299,63.0,398.0,0.0,828,111362,0.0005657225983728741,0.0035739300659111727,367.0
297793,205.0,838.0,973786.0,1878,297998,0.0006879240800273827,0.0028120994100631546,835.0
34471,54.0,474.0,14.0,1037,34525,0.0015640839971035481,0.013729181752353367,509.0
37744,347.0,21.0,0.0,396,38091,0.009109763461185057,0.0005513113333858392,28.0
16636,36.0,74.0,23634.0,125,16672,0.002159309021113244,0.004438579654510557,15.0
39616,59.0,193.0,0.0,270,39675,0.00148708254568368,0.004864524259609326,18.0
201,15.0,0.0,6040.0,29,216,0.06944444444444445,0.0,14.0
