match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
29353,12.0,72.0,0.0,106,29365,0.00040864975310744085,0.002451898518644645,22.0
40817,369.0,301.0,0.0,822,41186,0.008959355120672073,0.007308308648569902,152.0
3317,0.0,16.0,0.0,26,3317,0.0,0.00482363581549593,10.0
11986,273.0,342.0,0.0,695,12259,0.022269353128313893,0.027897870951953667,80.0
32605,436.0,261.0,0.0,897,33041,0.013195726521594382,0.007899276656275536,200.0
24457,31.0,238.0,0.0,333,24488,0.0012659261679189807,0.00971904606337798,64.0
4097,11.0,37.0,0.0,56,4108,0.002677702044790652,0.009006815968841285,8.0
32321,42.0,214.0,4980.0,365,32363,0.0012977783271019374,0.006612489571424157,109.0
9439,9.0,41.0,0.0,66,9448,0.0009525825571549535,0.004339542760372565,16.0
23830,5.0,140.0,0.0,279,23835,0.00020977554017201594,0.005873715124816446,134.0
14299,106.0,45.0,0.0,229,14405,0.007358556056924679,0.0031239153071850054,78.0
71389,120.0,200.0,0.0,442,71509,0.001678110447635962,0.0027968507460599365,122.0
142800,1056.0,1848.0,453707.0,3421,143856,0.007340674007340674,0.01284617951284618,517.0
403037,605.0,1379.0,0.0,2503,403642,0.0014988529439453773,0.0034163937350424386,519.0
261211,869.0,1561.0,107210.0,2968,262080,0.0033157814407814407,0.005956196581196581,538.0
112087,28.0,70.0,171282.0,168,112115,0.00024974356687329974,0.0006243589171832494,70.0
21736,536.0,822.0,17919.0,4351,22272,0.024066091954022987,0.0369073275862069,2993.0
18366,1304.0,495.0,2185.0,4207,19670,0.06629384850025419,0.02516522623284189,2408.0
4681,50.0,214.0,9.0,510,4731,0.01056859015007398,0.045233565842316636,246.0
8068,327.0,435.0,7164.0,1741,8395,0.038951756998213224,0.051816557474687316,979.0
232299,2430.0,2448.0,811730.0,5788,234729,0.010352363789731988,0.010429047965952227,910.0
601742,633.0,1429.0,889468.0,2770,602375,0.0010508404233243412,0.002372276405893339,708.0
30210,14.0,649.0,0.0,729,30224,0.00046320804658549496,0.021473001588141874,66.0
759341,1382.0,1930.0,1453847.0,4199,760723,0.001816692804082432,0.002537060138841602,887.0
284111,302.0,364.0,54421.0,994,284413,0.0010618361326662283,0.0012798289810943945,328.0
1349853,689.0,1976.0,3674122.0,3652,1350542,0.0005101655483502179,0.001463116289608172,987.0
20183,15.0,224.0,0.0,324,20198,0.000742647786909595,0.011090206951183285,85.0
20138,23.0,269.0,0.0,393,20161,0.0011408164277565598,0.01334259213332672,101.0
20090,19.0,317.0,0.0,416,20109,0.0009448505644238898,0.015764085732756478,80.0
20014,15.0,393.0,0.0,524,20029,0.0007489140745918419,0.019621548754306255,116.0
19950,16.0,457.0,0.0,619,19966,0.000801362315937093,0.02288891114895322,146.0
27394,46.0,283.0,0.0,435,27440,0.0016763848396501458,0.010313411078717201,106.0
5133,8.0,64.0,9.0,106,5141,0.0015561174868702586,0.012448939894962069,34.0
5445,7.0,54.0,0.0,98,5452,0.0012839325018341892,0.009904622157006602,37.0
77955,89.0,351.0,29657.0,566,78044,0.0011403823484188406,0.0044974629696068885,126.0
23610,12.0,343.0,0.0,387,23622,0.000508001016002032,0.014520362374058082,32.0
19841,8.0,143.0,0.0,177,19849,0.0004030429744571515,0.007204393168421583,26.0
67630,88.0,332.0,0.0,781,67718,0.0012995067781092177,0.004902684662866594,361.0
61892,10.0,322.0,0.0,466,61902,0.00016154566896061517,0.005201770540531808,134.0
10994,64.0,88.0,8213.0,203,11058,0.0057876650388858746,0.007958039428468077,51.0
14675,10.0,255.0,11280.0,387,14685,0.0006809669731018045,0.017364657814096015,122.0
29736,16.0,415.0,0.0,534,29752,0.0005377789728421619,0.013948642108093573,103.0
16300,150.0,309.0,2.0,563,16450,0.00911854103343465,0.01878419452887538,104.0
16289,129.0,319.0,2.0,542,16418,0.007857229869655256,0.019429894018759896,94.0
8183,2.0,67.0,0.0,116,8185,0.0002443494196701283,0.008185705558949298,47.0
24628,61.0,241.0,0.0,376,24689,0.0024707359552837297,0.009761432216776703,74.0
4166,0.0,61.0,0.0,65,4166,0.0,0.014642342774843975,4.0
2066721,2261.0,4378.0,1157786.0,8827,2068982,0.0010928079606299136,0.00211601647573541,2188.0
36563,13.0,205.0,2802.0,257,36576,0.00035542432195975504,0.005604768153980752,39.0
95109,158.0,518.0,0.0,1054,95267,0.0016584966462678578,0.005437349764346521,378.0
66150,82.0,301.0,46089.0,717,66232,0.0012380722309457664,0.004544630994081411,334.0
25738,8.0,217.0,780.0,251,25746,0.0003107278800590383,0.008428493746601413,26.0
1114806,503.0,1970.0,5499731.0,3886,1115309,0.00045099609166607637,0.0017663266413164424,1413.0
31433,10.0,261.0,697.0,323,31443,0.0003180358108322997,0.008300734662723023,52.0
31094,10.0,261.0,1009.0,316,31104,0.0003215020576131687,0.008391203703703705,45.0
1190470,4988.0,5689.0,2098918.0,13275,1195458,0.004172459425592534,0.004758845563792287,2598.0
12418,3.0,61.0,0.0,99,12421,0.00024152644714596247,0.00491103775863457,35.0
1722949,898.0,3225.0,8153615.0,5665,1723847,0.0005209279013740778,0.001870815681438086,1542.0
1571983,894.0,2628.0,6682601.0,4808,1572877,0.0005683851947736536,0.0016708235926903374,1286.0
17197,7.0,187.0,8776.0,224,17204,0.00040688212043710767,0.010869565217391304,30.0
2618645,4917.0,7498.0,35493589.0,16694,2623562,0.0018741695450688795,0.0028579465627265525,4279.0
43613,26.0,282.0,11456.0,370,43639,0.0005957973372442082,0.006462109580879488,62.0
17623,16.0,170.0,1995.0,281,17639,0.0009070809002777935,0.009637734565451556,95.0
26460,99.0,74.0,1868.0,216,26559,0.003727549983056591,0.0027862494822847245,43.0
21226,6.0,44.0,0.0,84,21232,0.0002825923134890731,0.002072343632253203,34.0
27505,14.0,189.0,0.0,372,27519,0.0005087394164032123,0.0068679821214433666,169.0
22596,11.0,246.0,609.0,296,22607,0.00048657495466006105,0.010881585349670457,39.0
1092422,2396.0,3076.0,2451740.0,7220,1094818,0.002188491603170573,0.0028095994037365115,1748.0
27642,12.0,105.0,4238.0,169,27654,0.00043393360815795185,0.0037969190713820784,52.0
29841,8.0,34.0,3821.0,80,29849,0.00026801567891721664,0.0011390666353981707,38.0
5295051,2433.0,8341.0,11653736.0,16177,5297484,0.00045927462923908783,0.0015745210367789691,5403.0
16763,9.0,182.0,13804.0,203,16772,0.0005366086334366802,0.010851419031719533,12.0
9383,1.0,51.0,2194.0,60,9384,0.00010656436487638534,0.005434782608695652,8.0
3821,0.0,19.0,0.0,21,3821,0.0,0.004972520282648521,2.0
16227,3.0,111.0,0.0,122,16230,0.00018484288354898336,0.006839186691312385,8.0
33077,5.0,201.0,185.0,227,33082,0.00015113959252765853,0.0060758116196118735,21.0
10416,1.0,143.0,0.0,154,10417,9.599692809830086e-05,0.013727560718057022,10.0
15444,2.0,205.0,0.0,223,15446,0.00012948336138806163,0.013272044542276318,16.0
13089,11.0,134.0,0.0,164,13100,0.0008396946564885496,0.010229007633587786,19.0
22504,4.0,123.0,1774.0,157,22508,0.00017771459036786921,0.005464723653811978,30.0
1633526,1729.0,3024.0,2904417.0,6861,1635255,0.001057327450458797,0.0018492528688186247,2108.0
86574,18.0,549.0,0.0,653,86592,0.00020787139689578714,0.006340077605321508,86.0
97987,19.0,576.0,0.0,769,98006,0.00019386568169295758,0.005877191192375977,174.0
69407,120.0,916.0,0.0,1208,69527,0.0017259481927884132,0.013174737871618221,172.0
1421678,616.0,2744.0,2504489.0,5104,1422294,0.000433103141825811,0.0019292776317695215,1744.0
2253851,1268.0,4357.0,1896135.0,8334,2255119,0.0005622763144650016,0.0019320488187097888,2709.0
20553,2.0,54.0,0.0,65,20555,9.729992702505473e-05,0.002627098029676478,9.0
16899,34.0,348.0,111.0,653,16933,0.0020079135416051497,0.02055158566113506,271.0
984158,437.0,1509.0,2448542.0,3110,984595,0.00044383731381938767,0.0015326098548134005,1164.0
8080,0.0,20.0,0.0,25,8080,0.0,0.0024752475247524753,5.0
8071,0.0,29.0,0.0,31,8071,0.0,0.00359311113864453,2.0
26667,8.0,198.0,0.0,304,26675,0.00029990627928772257,0.007422680412371134,98.0
153636,125.0,870.0,218957.0,1436,153761,0.0008129499678071813,0.005658131775937982,441.0
51649,21.0,356.0,22778.0,571,51670,0.00040642539191019936,0.006889878072382427,194.0
43453,29.0,319.0,0.0,541,43482,0.0006669426429327077,0.0073363690722597855,193.0
55519,81.0,598.0,0.0,1028,55600,0.0014568345323741007,0.010755395683453238,349.0
36848,76.0,214.0,1267.0,489,36924,0.002058281876286426,0.005795688441122306,199.0
30829,19.0,301.0,0.0,408,30848,0.0006159232365145228,0.009757520746887967,88.0
29391,43.0,388.0,86.0,565,29434,0.0014608955629544064,0.013182034382007202,134.0
31569,15.0,242.0,110.0,348,31584,0.0004749240121580547,0.007662107396149949,91.0
6622,9.0,89.0,0.0,122,6631,0.0013572613482129392,0.013421806665661288,24.0
14942,11.0,146.0,0.0,209,14953,0.0007356383334447936,0.009763926971176352,52.0
275280,219.0,922.0,6116.0,1937,275499,0.0007949212156849934,0.003346654615806228,796.0
16855,283.0,201.0,11689.0,841,17138,0.016513012020072354,0.011728323024857042,357.0
24436,114.0,362.0,30.0,1535,24550,0.004643584521384928,0.01474541751527495,1059.0
26174,119.0,1111.0,0.0,2130,26293,0.0045259194462404445,0.04225459247708516,900.0
5902,23.0,88.0,0.0,285,5925,0.003881856540084388,0.014852320675105486,174.0
7404,28.0,188.0,91.0,470,7432,0.003767491926803014,0.02529601722282024,254.0
6118,15.0,50.0,0.0,230,6133,0.0024457850970161423,0.008152616990053808,165.0
5551,22.0,156.0,16.0,335,5573,0.003947604521801543,0.027992104790956398,157.0
16990,97.0,390.0,695.0,992,17087,0.005676830338854099,0.022824369403640195,505.0
16648,72.0,204.0,319.0,825,16720,0.00430622009569378,0.012200956937799042,549.0
9594,17.0,116.0,0.0,441,9611,0.0017688065757985641,0.01206950369368432,308.0
9139,19.0,149.0,0.0,444,9158,0.002074688796680498,0.01626992793186285,276.0
15363,39.0,520.0,5394.0,1025,15402,0.002532138683287885,0.03376184911050513,466.0
9567,16.0,156.0,118.0,430,9583,0.0016696232912449128,0.0162788270896379,258.0
17689,74.0,188.0,535.0,909,17763,0.004165962956707763,0.010583797781906209,647.0
14886,59.0,656.0,866.0,1213,14945,0.003947808631649381,0.04389427902308465,498.0
15105,75.0,399.0,21.0,897,15180,0.004940711462450593,0.026284584980237155,423.0
8756,22.0,90.0,0.0,378,8778,0.002506265664160401,0.010252904989747095,266.0
8674,32.0,125.0,0.0,407,8706,0.003675626005053986,0.014357914082242133,250.0
8557,16.0,104.0,0.0,352,8573,0.001866324507173685,0.012131109296628952,232.0
15707,76.0,356.0,0.0,926,15783,0.004815307609453209,0.022555914591649243,494.0
8223,16.0,73.0,81.0,311,8239,0.0019419832503944654,0.008860298579924748,222.0
7888,49.0,99.0,0.0,388,7937,0.006173617235731384,0.012473226659947084,240.0
7068,28.0,139.0,8.0,376,7096,0.003945885005636978,0.019588500563697857,209.0
12280,76.0,416.0,0.0,850,12356,0.006150857882809971,0.033667853674328264,358.0
6256,35.0,98.0,0.0,299,6291,0.005563503417580671,0.015577809569225878,166.0
4395,9.0,83.0,0.0,203,4404,0.0020435967302452314,0.018846503178928248,111.0
12552,75.0,428.0,0.0,965,12627,0.005939653124257543,0.03389562049576305,462.0
3532,10.0,59.0,0.0,165,3542,0.00282326369282891,0.016657255787690572,96.0
10574,60.0,171.0,3.0,562,10634,0.005642279480910287,0.01608049652059432,331.0
4485,6.0,109.0,0.0,249,4491,0.0013360053440213762,0.024270763749721664,134.0
4890,5.0,34.0,0.0,174,4895,0.0010214504596527069,0.006945863125638407,135.0
4711,4.0,44.0,0.0,178,4715,0.000848356309650053,0.009331919406150583,130.0
4098,4.0,54.0,20.0,153,4102,0.0009751340809361287,0.013164310092637738,95.0
4760,9.0,118.0,0.0,260,4769,0.001887188089746278,0.02474313273222898,133.0
5013,7.0,107.0,0.0,242,5020,0.0013944223107569722,0.021314741035856573,128.0
6184,9.0,98.0,0.0,287,6193,0.0014532536735023414,0.015824317778136605,180.0
4562,26.0,76.0,0.0,241,4588,0.005666957279860506,0.016564952048823016,139.0
3982,3.0,98.0,0.0,196,3985,0.000752823086574655,0.024592220828105395,95.0
4106,3.0,73.0,182.0,191,4109,0.0007301046483329277,0.01776587977610124,115.0
1003,3.0,13.0,0.0,34,1006,0.002982107355864811,0.012922465208747515,18.0
2858,5.0,26.0,10.0,101,2863,0.0017464198393293748,0.009081383164512749,70.0
1430,4.0,43.0,0.0,75,1434,0.002789400278940028,0.0299860529986053,28.0
944,2.0,11.0,0.0,23,946,0.0021141649048625794,0.011627906976744186,10.0
29710,37.0,775.0,0.0,2254,29747,0.001243822906511581,0.026053047366120952,1442.0
13320,16.0,182.0,11.0,672,13336,0.0011997600479904018,0.013647270545890822,474.0
37182,38.0,1123.0,0.0,2713,37220,0.0010209564750134337,0.03017195056421279,1552.0
11836,18.0,358.0,0.0,789,11854,0.001518474776446769,0.030200776109330182,413.0
13520,9.0,234.0,2.0,767,13529,0.0006652376376672333,0.01729617857934807,524.0
11860,4.0,205.0,194.0,602,11864,0.00033715441672285906,0.017279163857046528,393.0
21368,12.0,258.0,0.0,1249,21380,0.0005612722170252573,0.012067352666043031,979.0
9947,9.0,147.0,0.0,468,9956,0.0009039775010044194,0.01476496584973885,312.0
13738,5.0,163.0,0.0,729,13743,0.0003638215818962381,0.011860583569817361,561.0
22595,25.0,418.0,52.0,1590,22620,0.0011052166224580018,0.01847922192749779,1147.0
12780,9.0,229.0,0.0,712,12789,0.0007037297677691766,0.017906012979904604,474.0
11350,11.0,200.0,39.0,575,11361,0.0009682246281137223,0.017604084147522226,364.0
14604,8.0,230.0,0.0,827,14612,0.0005474952094169176,0.015740487270736382,589.0
12698,9.0,235.0,24.0,704,12707,0.0007082710317148029,0.018493743605886518,460.0
12312,9.0,151.0,0.0,564,12321,0.0007304601899196494,0.012255498741985229,404.0
20201,154.0,285.0,0.0,1423,20355,0.007565708671088185,0.01400147383935151,984.0
26647,31.0,274.0,0.0,1617,26678,0.0011620061473873603,0.010270634980133444,1312.0
9239,3.0,136.0,0.0,439,9242,0.0003246050638389959,0.014715429560701147,300.0
10809,21.0,209.0,0.0,591,10830,0.0019390581717451524,0.01929824561403509,361.0
10568,8.0,177.0,0.0,522,10576,0.0007564296520423601,0.016736006051437217,337.0
27270,12.0,389.0,8.0,1658,27282,0.0004398504508467121,0.014258485448280917,1257.0
10937,6.0,138.0,7.0,490,10943,0.0005482957141551677,0.012610801425568858,346.0
26463,46.0,363.0,15.0,1671,26509,0.0017352597231129051,0.013693462597608359,1262.0
10973,21.0,96.0,495.0,488,10994,0.001910132799708932,0.008732035655812261,371.0
10797,2.0,84.0,0.0,463,10799,0.00018520233354940273,0.0077784980090749144,377.0
10937,302.0,433.0,0.0,1132,11239,0.026870718035412404,0.03852655930242904,397.0
10373,5.0,97.0,13.0,454,10378,0.00048178839853536327,0.009346694931586047,352.0
10663,26.0,227.0,6125.0,615,10689,0.002432407147534849,0.02123678548040041,362.0
10106,19.0,233.0,0.0,574,10125,0.0018765432098765433,0.023012345679012346,322.0
25086,17.0,347.0,49.0,1542,25103,0.0006772098952316457,0.01382304903796359,1178.0
6226,2.0,98.0,31.0,270,6228,0.0003211303789338471,0.01573538856775851,170.0
9620,9.0,154.0,0.0,522,9629,0.0009346764980787206,0.015993353411569218,359.0
2999,3.0,56.0,0.0,143,3002,0.000999333777481679,0.018654230512991338,84.0
7944,24.0,220.0,23.0,524,7968,0.0030120481927710845,0.027610441767068273,280.0
5286,13.0,123.0,0.0,313,5299,0.002453293074164937,0.023211926778637478,177.0
27180,92.0,1350.0,18.0,2757,27272,0.0033734232912877677,0.04950132003520094,1315.0
32431,52.0,720.0,0.0,2292,32483,0.001600837361081181,0.022165440384200968,1520.0
27407,372.0,568.0,15.0,2198,27779,0.013391410777925772,0.020447100327585586,1258.0
19988,56.0,891.0,5228.0,1834,20044,0.0027938535222510478,0.04445220514867292,887.0
19377,37.0,380.0,0.0,1222,19414,0.0019058411455650562,0.019573503657154632,805.0
18034,9.0,282.0,20.0,1024,18043,0.0004988084021504184,0.015629329934046445,733.0
15867,25.0,287.0,0.0,934,15892,0.0015731185502139442,0.018059400956456077,622.0
13969,13.0,287.0,0.0,883,13982,0.0009297668430839651,0.020526391074238308,583.0
2234,8.0,58.0,0.0,129,2242,0.003568242640499554,0.025869759143621766,63.0
12446,14.0,389.0,0.0,923,12460,0.0011235955056179776,0.031219903691813804,520.0
7954,12.0,271.0,0.0,559,7966,0.001506402209389907,0.03401958322872207,276.0
7925,19.0,175.0,0.0,420,7944,0.002391742195367573,0.02202920443101712,226.0
10020,54.0,295.0,12.0,950,10074,0.005360333531864205,0.0292833035537026,601.0
80671,164.0,2083.0,101.0,6575,80835,0.002028824147955712,0.025768540854827736,4328.0
70856,469.0,1194.0,0.0,5532,71325,0.006575534525061339,0.016740273396424817,3869.0
1458,0.0,32.0,10.0,60,1458,0.0,0.02194787379972565,28.0
26701,39.0,1057.0,98.0,2404,26740,0.0014584891548242334,0.03952879581151832,1308.0
37300,63.0,709.0,32.0,2620,37363,0.0016861601049166287,0.018975992291839522,1848.0
2246,2.0,32.0,0.0,86,2248,0.0008896797153024911,0.014234875444839857,52.0
14204,38.0,290.0,25.0,1155,14242,0.0026681645836258952,0.020362308664513412,827.0
17278,76.0,350.0,21.0,1460,17354,0.004379393799700358,0.0201682609196727,1034.0
11577,371.0,329.0,14.0,1262,11948,0.031051221961834616,0.027535989286909944,562.0
1133,2.0,21.0,0.0,36,1135,0.001762114537444934,0.018502202643171806,13.0
1496,4.0,45.0,7.0,84,1500,0.0026666666666666666,0.03,35.0
729,1.0,22.0,0.0,36,730,0.0013698630136986301,0.030136986301369864,13.0
2150,16.0,47.0,0.0,152,2166,0.007386888273314866,0.02169898430286242,89.0
251,0.0,3.0,0.0,5,251,0.0,0.01195219123505976,2.0
596,0.0,5.0,0.0,15,596,0.0,0.008389261744966443,10.0
20511,364.0,507.0,0.0,2020,20875,0.017437125748502993,0.0242874251497006,1149.0
17675,27.0,715.0,0.0,1370,17702,0.0015252513840244041,0.040390916280646255,628.0
79358,60.0,333.0,35967.0,593,79418,0.0007554962351104283,0.004193004104862877,200.0
12914,88.0,67.0,0.0,187,13002,0.00676818950930626,0.00515305337640363,32.0
12765,23.0,139.0,1484.0,277,12788,0.0017985611510791368,0.010869565217391304,115.0
7342,242.0,199.0,8327.0,662,7584,0.03190928270042194,0.026239451476793248,221.0
7353,243.0,188.0,4657.0,666,7596,0.031990521327014215,0.024749868351764088,235.0
6952,158.0,116.0,24005.0,488,7110,0.022222222222222223,0.01631504922644163,214.0
6959,161.0,109.0,14247.0,489,7120,0.022612359550561796,0.015308988764044944,219.0
