match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
798535,7072.0,7402,2429491.0,18106,805607,0.008778473871254843,0.009188102883912379,3632.0
20784,54.0,128,1567.0,326,20838,0.002591419522027066,0.006142624052212304,144.0
18405,65.0,371,1070.0,695,18470,0.003519220357336221,0.020086626962642122,259.0
2455919,10004.0,11040,42627703.0,27284,2465923,0.004056898775833633,0.004477025438344993,6240.0
28210,38.0,409,4058.0,495,28248,0.0013452279807419994,0.014478901161144152,48.0
39861,28.0,14,50947.0,302,39889,0.0007019479054375893,0.00035097395271879467,260.0
48857,111.0,81,36848.0,1377,48968,0.0022667864727985623,0.0016541414801503021,1185.0
74586,72.0,196,25960.0,428,74658,0.0009643976532990436,0.002625304722869619,160.0
13791,13.0,60,458.0,96,13804,0.0009417560127499276,0.004346566212691973,23.0
258569,271.0,353,76085.0,1479,258840,0.001046978828619997,0.001363776850564055,855.0
332142,171.0,335,3322.0,1161,332313,0.0005145751144252557,0.001008085750482226,655.0
12826,78.0,302,3777.0,530,12904,0.006044637321760695,0.023403595784252943,150.0
18968,372.0,485,7351.0,1011,19340,0.01923474663908997,0.025077559462254394,154.0
183023,242.0,112,40908.0,527,183265,0.001320492183450195,0.0006111368782909994,173.0
177862,119.0,141,234808.0,564,177981,0.000668610694399964,0.0007922193942049994,304.0
7996,12.0,28,2314.0,320,8008,0.0014985014985014985,0.0034965034965034965,280.0
12742,0.0,2,0.0,35,12742,0.0,0.0001569612305760477,33.0
33750,4.0,118,226.0,407,33754,0.00011850447354387629,0.0034958819695443503,285.0
27967,3.0,145,186.0,360,27970,0.00010725777618877369,0.005184125849124061,212.0
18695,414.0,544,3692.0,1195,19109,0.02166518394473808,0.028468261028834582,237.0
9523,315.0,49,3344.0,455,9838,0.03201870298841228,0.0049806871315307985,91.0
9528,331.0,40,2546.0,467,9859,0.0335733847246171,0.00405720661324678,96.0
13296,5.0,539,1706.0,684,13301,0.00037591158559506803,0.04052326892714833,140.0
6633,330.0,14,13693.0,397,6963,0.04739336492890995,0.0020106276030446646,53.0
