match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
19470,6.0,82.0,1064.0,746,19476,0.00030807147258163895,0.004210310125282399,658.0
29647,195.0,821.0,51215.0,1140,29842,0.006534414583472958,0.02751156088733999,124.0
60537,2078.0,3097.0,142117.0,5747,62615,0.03318693603769065,0.04946099177513375,572.0
15722,439.0,261.0,4367.0,856,16161,0.027164160633624156,0.016149990718396137,156.0
12833,17.0,115.0,26856.0,203,12850,0.0013229571984435798,0.00894941634241245,71.0
23992,575.0,668.0,17.0,1419,24567,0.02340538120242602,0.02719094720560101,176.0
101219,1744.0,1039.0,464170.0,3489,102963,0.016938123403552732,0.010091003564387207,706.0
64365,341.0,494.0,88050.0,1010,64706,0.0052699904181992396,0.007634531573578957,175.0
34739,62.0,131.0,7299.0,236,34801,0.0017815580012068618,0.0037642596477112725,43.0
665663,864.0,946.0,1379910.0,2781,666527,0.0012962715688936831,0.0014192973427933151,971.0
280603,345.0,592.0,172748.0,1346,280948,0.0012279852499394906,0.0021071515013454446,409.0
44181,9.0,14.0,29830.0,31,44190,0.00020366598778004074,0.00031681375876895223,8.0
66260,21.0,67.0,6.0,91,66281,0.00031683287820038927,0.0010108477542583847,3.0
680904,359.0,449.0,185172.0,1060,681263,0.0005269624212675575,0.0006590699920588671,252.0
476634,317.0,596.0,78350.0,1387,476951,0.0006646385058423193,0.0012496042570410797,474.0
452431,320.0,266.0,92408.0,836,452751,0.0007067902666145409,0.0005875194091233371,250.0
192802,71.0,140.0,18591.0,287,192873,0.00036811788067795905,0.0007258662435903418,76.0
80677,163.0,16.0,27906.0,213,80840,0.002016328550222662,0.0001979218208807521,34.0
1123378,327.0,435.0,0.0,1248,1123705,0.0002910016418899978,0.0003871122759087127,486.0
854055,566.0,541.0,599358.0,1754,854621,0.0006622818769957677,0.0006330291439129158,647.0
2529660,1102.0,1075.0,534605.0,3290,2530762,0.00043544197360320723,0.0004247732501120216,1113.0
9944,215.0,367.0,16739.0,995,10159,0.0211635003445221,0.0361256029136726,413.0
157795,111.0,87.0,0.0,392,157906,0.000702949856243588,0.0005509606981368662,194.0
1259513,676.0,562.0,629215.0,2283,1260189,0.0005364274723870785,0.00044596485130405045,1045.0
635590,318.0,189.0,121644.0,745,635908,0.0005000723375079414,0.00029721280436792745,238.0
844859,407.0,326.0,831568.0,1279,845266,0.0004815052303061995,0.00038567740805852833,546.0
478909,138.0,192.0,35485.0,466,479047,0.00028807194283650666,0.00040079574655513966,136.0
182574,16.0,27.0,0.0,56,182590,8.762801905909414e-05,0.00014787228216222136,13.0
3325558,924.0,815.0,4.0,2341,3326482,0.0002777709303702831,0.00024500358035907003,602.0
797350,301.0,221.0,0.0,767,797651,0.0003773580174788222,0.0002770635277834542,245.0
257062,138.0,61.0,0.0,362,257200,0.000536547433903577,0.00023716951788491447,163.0
522425,171.0,230.0,0.0,776,522596,0.00032721260782707866,0.0004401105251475327,375.0
932280,624.0,473.0,121047.0,1981,932904,0.0006688791129633917,0.0005070189429994941,884.0
1295075,337.0,233.0,393453.0,774,1295412,0.0002601488947145773,0.0001798655562863398,204.0
397055,134.0,259.0,331765.0,689,397189,0.0003373708738157401,0.0006520825098378858,296.0
980982,2779.0,3179.0,803640.0,7825,983761,0.0028248731145064706,0.003231475937753174,1867.0
747987,6883.0,6426.0,0.0,16482,754870,0.009118126299892696,0.008512724045199836,3173.0
1669295,786.0,571.0,0.0,2244,1670081,0.0004706358553866549,0.0003418995845111704,887.0
526215,258.0,123.0,194624.0,484,526473,0.0004900536209834122,0.0002336302146548826,103.0
128289,114.0,49.0,101648.0,275,128403,0.0008878297236045887,0.0003816110215493407,112.0
722079,3527.0,3699.0,996895.0,8986,725606,0.004860764657403605,0.0050978079012577076,1760.0
103138,9.0,9.0,0.0,37,103147,8.725411306194073e-05,8.725411306194073e-05,19.0
78363,20.0,6.0,0.0,35,78383,0.00025515736830690326,7.654721049207098e-05,9.0
607021,71.0,150.0,371818.0,426,607092,0.00011695097283443036,0.00024707952007274023,205.0
391352,168.0,146.0,187876.0,572,391520,0.00042909685328974253,0.00037290559869227624,258.0
564905,264.0,255.0,97933.0,1016,565169,0.0004671169154713015,0.0004511924751711435,497.0
474397,243.0,210.0,0.0,841,474640,0.0005119669644362043,0.0004424405865498062,388.0
273798,122.0,223.0,296747.0,558,273920,0.00044538551401869156,0.000814106308411215,213.0
855283,36.0,85.0,1075542.0,166,855319,4.2089559567833756e-05,9.937812675738525e-05,45.0
950186,320.0,219.0,2675760.0,887,950506,0.0003366627880307962,0.00023040359555857618,348.0
23073,76.0,332.0,659.0,489,23149,0.003283079182686077,0.014341872219102337,81.0
903901,368.0,322.0,628515.0,1278,904269,0.0004069585488388964,0.00035608873023403433,588.0
49767,21.0,87.0,53191.0,161,49788,0.0004217883827428296,0.0017474090142202941,53.0
545555,428.0,428.0,608195.0,1132,545983,0.0007839071912495444,0.0007839071912495444,276.0
1333505,502.0,850.0,388147.0,2059,1334007,0.00037630986943846623,0.0006371780657822635,707.0
116601,1365.0,1298.0,2.0,3246,117966,0.011571130664767814,0.011003170405031959,583.0
12226,48.0,299.0,2030.0,392,12274,0.003910705556460812,0.024360436695453805,45.0
777189,339.0,313.0,2326101.0,1085,777528,0.00043599716023088556,0.00040255785000668787,433.0
964661,366.0,456.0,3.0,1433,965027,0.00037926399986736123,0.0004725256391790074,611.0
23036,21.0,456.0,1087.0,518,23057,0.0009107863121828512,0.019777074207399055,41.0
26580,107.0,83.0,242.0,219,26687,0.004009442799865103,0.003110128526998164,29.0
25565,59.0,183.0,1061.0,305,25624,0.002302528879175773,0.0071417421167655325,63.0
13162,55.0,375.0,0.0,510,13217,0.004161307407127185,0.028372550503139894,80.0
