match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
6038,4.0,19,30045.0,65,6042,0.0006620324395895399,0.0031446540880503146,42.0
253415,257.0,283,126877.0,1916,253672,0.0010131193036677284,0.0011156138635718565,1376.0
189148,124.0,363,57622.0,813,189272,0.0006551418065006974,0.0019178748045141384,326.0
752047,224.0,153,35141.0,460,752271,0.00029776503414328083,0.0002033841527853659,83.0
477812,38.0,77,61284.0,156,477850,7.952286282306163e-05,0.00016113843256251962,41.0
700536,254.0,85,35.0,392,700790,0.00036244809429358295,0.00012129168509824627,53.0
45563,206.0,237,68684.0,1189,45769,0.004500863029561494,0.0051781773689615245,746.0
36887,31.0,129,26388.0,356,36918,0.000839698791917222,0.0034942304566877944,196.0
15383,6.0,1,3.0,8,15389,0.00038988888166872443,6.498148027812073e-05,1.0
13632,0.0,1,18.0,3,13632,0.0,7.335680751173709e-05,2.0
27383,3.0,171,66.0,202,27386,0.00010954502300445484,0.006244066311253926,28.0
24473,53.0,112,0.0,201,24526,0.0021609720296827855,0.004566582402348528,36.0
61605,592.0,329,32777.0,1355,62197,0.009518143961927425,0.00528964419505764,434.0
26153,293.0,570,593.0,1203,26446,0.011079180216289798,0.021553354004386297,340.0
21186,3.0,98,4315.0,108,21189,0.00014158289678606824,0.004625041295011563,7.0
5194,466.0,120,10715.0,784,5660,0.08233215547703181,0.02120141342756184,198.0
4007,382.0,141,16895.0,790,4389,0.08703577124629756,0.03212576896787423,267.0
5145,87.0,82,6537.0,743,5232,0.016628440366972478,0.015672782874617736,574.0
6841,16.0,108,26644.0,877,6857,0.002333381945457197,0.01575032813183608,753.0
41857,210.0,535,549.0,1370,42067,0.004992036513181353,0.012717807307390592,625.0
16170,9.0,85,0.0,132,16179,0.0005562766549230484,0.005253723963162124,38.0
6209,103.0,174,27678.0,540,6312,0.016318124207858047,0.027566539923954372,263.0
46953,212.0,686,50345.0,1413,47165,0.004494858475564508,0.014544683557722888,515.0
32344,441.0,978,62294.0,2531,32785,0.013451273448223272,0.0298307152661278,1112.0
15183,93.0,324,28.0,699,15276,0.006087981146897094,0.021209740769835034,282.0
12648,113.0,18,61124.0,143,12761,0.008855105399263381,0.0014105477627145207,12.0
9619,1.0,111,7104.0,125,9620,0.00010395010395010396,0.011538461538461539,13.0
113206,33.0,102,314.0,148,113239,0.00029141903407836525,0.0009007497416967653,13.0
646867,41.0,93,538354.0,200,646908,6.33784092946756e-05,0.0001437607820586544,66.0
761346,77.0,199,11.0,337,761423,0.00010112644351431465,0.00026135275661491706,61.0
900018,125.0,224,0.0,432,900143,0.0001388668244934416,0.00024884934949224736,83.0
96011,3.0,13,0.0,24,96014,3.124544337284146e-05,0.000135396921282313,8.0
