match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
25426,25.0,156.0,114.0,244,25451,0.0009822796746689717,0.006129425169934383,63.0
14703,39.0,382.0,6588.0,500,14742,0.0026455026455026454,0.02591235924569258,79.0
32994,146.0,387.0,0.0,580,33140,0.0044055522027761015,0.011677730838865419,47.0
19002,90.0,148.0,1537.0,358,19092,0.004714016341923318,0.007751937984496124,120.0
22248,394.0,187.0,6004.0,722,22642,0.017401289638724494,0.008258987721932691,141.0
19845,80.0,609.0,1491.0,805,19925,0.004015056461731493,0.03056461731493099,116.0
21910,13.0,1.0,0.0,69,21923,0.0005929845367878484,4.56141951375268e-05,55.0
86358,718.0,607.0,58614.0,1643,87076,0.008245670448803344,0.0069709219532362535,318.0
385220,687.0,577.0,1457490.0,1802,385907,0.0017802216596226551,0.0014951788902507598,538.0
32806,1102.0,993.0,53437.0,5259,33908,0.032499705084345874,0.02928512445440604,3164.0
20831,87.0,274.0,4595.0,479,20918,0.004159097428052395,0.013098766612486854,118.0
1249487,601.0,829.0,8886886.0,2164,1250088,0.00048076615406275397,0.0006631533140066939,734.0
27544,141.0,211.0,0.0,417,27685,0.00509301065558967,0.007621455661910782,65.0
27283,43.0,471.0,0.0,606,27326,0.0015735929151723634,0.017236331698748445,92.0
29647,33.0,286.0,6002.0,394,29680,0.0011118598382749325,0.009636118598382749,75.0
10788,5.0,92.0,3.0,117,10793,0.000463263226165107,0.008524043361437968,20.0
32211,54.0,181.0,1065.0,364,32265,0.0016736401673640166,0.005609793894312723,129.0
104052,206.0,269.0,0.0,1057,104258,0.0019758675593239848,0.002580137735233747,582.0
143602,70.0,208.0,1492.0,517,143672,0.0004872208920318503,0.0014477420791803553,239.0
12465,51.0,43.0,9549.0,120,12516,0.004074784276126558,0.0034356024288910193,26.0
14405,75.0,279.0,195.0,417,14480,0.0051795580110497235,0.019267955801104974,63.0
24031,19.0,134.0,6012.0,176,24050,0.00079002079002079,0.005571725571725572,23.0
745876,567.0,594.0,2478581.0,1960,746443,0.0007596025416542187,0.0007957740912568006,799.0
