match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
30371,25.0,172,74.0,269,30396,0.0008224766416633768,0.005658639294644032,72.0
17592,256.0,426,7560.0,979,17848,0.014343343792021516,0.023868220528910803,297.0
10374,4.0,78,969.0,130,10378,0.0003854307188282906,0.007515899017151667,48.0
3514,13.0,123,107.0,187,3527,0.003685851998865892,0.03487383045080805,51.0
24555,248.0,147,15.0,718,24803,0.009998790468894892,0.0059267024150304395,323.0
2341,47.0,79,395.0,173,2388,0.01968174204355109,0.0330820770519263,47.0
14080,638.0,527,656.0,1385,14718,0.043348281016442454,0.03580649544775105,220.0
8640,334.0,322,13816.0,836,8974,0.03721863160240695,0.0358814352574103,180.0
26098,184.0,1080,21.0,1624,26282,0.007000989270222966,0.04109276310783046,360.0
23047,132.0,369,21.0,658,23179,0.0056948099572889255,0.01591958238060313,157.0
15920,158.0,117,70121.0,650,16078,0.009827092922005225,0.0072770245055355145,375.0
24100,11.0,74,18882.0,120,24111,0.0004562233005682054,0.0030691385674588363,35.0
3294,1.0,21,1821.0,46,3295,0.00030349013657056146,0.006373292867981791,24.0
48525,7.0,195,24806.0,285,48532,0.000144234731723399,0.004017967526580401,83.0
3532,0.0,61,0.0,65,3532,0.0,0.01727066817667044,4.0
16362,0.0,21,20334.0,29,16362,0.0,0.0012834616795012834,8.0
83090,107.0,863,260903.0,1362,83197,0.001286104066252389,0.010372970179213193,392.0
7617,88.0,174,47.0,367,7705,0.011421155094094743,0.022582738481505518,105.0
833,2.0,22,1446.0,30,835,0.0023952095808383233,0.026347305389221556,6.0
104952,434.0,535,132513.0,2588,105386,0.0041181940675232,0.005076575636232517,1619.0
13947,43.0,94,9857.0,575,13990,0.0030736240171551107,0.006719085060757684,438.0
25965,56.0,943,80868.0,1650,26021,0.0021521079128396297,0.036239960032281616,651.0
4970,214.0,30,1677.0,337,5184,0.04128086419753087,0.005787037037037037,93.0
17662,436.0,337,4163.0,2871,18098,0.02409105978561167,0.01862084208199801,2098.0
6486,44.0,296,4183.0,714,6530,0.006738131699846861,0.04532924961715161,374.0
85030,59.0,100,64057.0,550,85089,0.0006933916252394552,0.0011752400427787375,391.0
71414,174.0,398,17256.0,783,71588,0.002430574956696653,0.005559590992903839,211.0
26913,13.0,248,103.0,336,26926,0.0004828047240585308,0.009210428582039664,75.0
46075,155.0,702,6423.0,1693,46230,0.003352801211334631,0.01518494484101233,836.0
21969,77.0,100,88.0,436,22046,0.0034926970879071034,0.0045359702440351994,259.0
16366,2.0,3,14708.0,23,16368,0.00012218963831867058,0.00018328445747800586,18.0
37812,183.0,182,77.0,1090,37995,0.004816423213580734,0.004790103961047506,725.0
38673,140.0,223,61.0,884,38813,0.0036070388787262,0.005745497642542447,521.0
284603,294.0,384,15424.0,1016,284897,0.0010319518984053886,0.0013478555407743851,338.0
305499,662.0,566,967289.0,1663,306161,0.002162261032593962,0.001848700520314475,435.0
112174,433.0,202,42865.0,941,112607,0.003845231646345254,0.001793849405454368,306.0
5605,6.0,44,0.0,74,5611,0.0010693281055070398,0.007841739440384958,24.0
381124,132.0,610,435725.0,1091,381256,0.00034622405942463856,0.0015999748200684054,349.0
188170,341.0,125,229811.0,636,188511,0.001808913007728992,0.0006630912784930322,170.0
87780,182.0,113,90920.0,430,87962,0.0020690752825083558,0.0012846456424365066,135.0
15655,44.0,201,21.0,274,15699,0.002802726288298618,0.012803363271545957,29.0
527345,337.0,427,265157.0,1407,527682,0.0006386422125446765,0.0008091994799898424,643.0
817,1.0,1,0.0,2,818,0.0012224938875305623,0.0012224938875305623,0.0
66603,190.0,121,16287.0,548,66793,0.0028446094650637042,0.0018115670803826747,237.0
44158,166.0,318,4801.0,727,44324,0.0037451493547513764,0.007174442739824926,243.0
22094,56.0,175,1418.0,323,22150,0.002528216704288939,0.007900677200902935,92.0
46055,131.0,575,464.0,781,46186,0.0028363573377213876,0.012449660070151128,75.0
376115,419.0,487,370037.0,1274,376534,0.0011127813158971036,0.0012933758969973495,368.0
230215,125.0,454,110232.0,908,230340,0.0005426760441087088,0.0019709993922028307,329.0
17027,36.0,330,11177.0,481,17063,0.002109828283420266,0.019340092598019106,115.0
858135,2186.0,2847,442376.0,6789,860321,0.002540912054919036,0.00330922992696912,1756.0
20229,240.0,420,5374.0,753,20469,0.01172504763300601,0.020518833357760516,93.0
14998,13.0,270,0.0,338,15011,0.000866031576843648,0.017986809672906535,55.0
16286,18.0,109,66.0,175,16304,0.0011040235525024535,0.006685475956820413,48.0
22313,14.0,174,325.0,281,22327,0.0006270434899449097,0.007793254803601021,93.0
623180,188.0,433,14279.0,939,623368,0.00030158750529382325,0.0006946137754905609,318.0
