match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
1555,1.0,92.0,84.0,159,1556,0.0006426735218508997,0.05912596401028278,66.0
32092,569.0,1134.0,25621.0,1769,32661,0.01742138942469612,0.03472030862496556,66.0
19375,18.0,196.0,15210.0,275,19393,0.0009281699582323519,0.010106739545196721,61.0
21219,207.0,571.0,0.0,938,21426,0.009661159339120694,0.026649864650424716,160.0
3972,11.0,49.0,0.0,67,3983,0.0027617373838814963,0.012302284710017574,7.0
48397,155.0,1084.0,0.0,1399,48552,0.003192453451969023,0.02232657768989949,160.0
58171,775.0,1241.0,22724.0,2305,58946,0.013147626641332745,0.021053167305669595,289.0
44290,611.0,311.0,39690.0,1085,44901,0.01360771475022828,0.006926349079085099,163.0
5034,1.0,14.0,0.0,17,5035,0.00019860973187686197,0.0027805362462760674,2.0
3889,6.0,31.0,6.0,58,3895,0.0015404364569961489,0.007958921694480103,21.0
23940,40.0,76.0,8.0,156,23980,0.0016680567139282735,0.00316930775646372,40.0
33487,278.0,236.0,4141.0,625,33765,0.008233377758033466,0.0069894861543017914,111.0
2672,8.0,0.0,113.0,13,2680,0.0029850746268656717,0.0,5.0
20337,41.0,421.0,0.0,526,20378,0.00201197369712435,0.0206595347924232,64.0
22287,54.0,79.0,20107.0,194,22341,0.002417080703639049,0.0035360995479163868,61.0
27214,37.0,52.0,474.0,133,27251,0.0013577483395104766,0.0019081868555282375,44.0
15242,7.0,224.0,13.0,261,15249,0.0004590464948521215,0.014689487835267887,30.0
47454,250.0,388.0,5.0,810,47704,0.005240650679188328,0.008133489854100284,172.0
19115,278.0,50.0,0.0,382,19393,0.014335069354921879,0.002578249883978755,54.0
15308,47.0,148.0,0.0,269,15355,0.0030608922175187235,0.00963855421686747,74.0
13027,16.0,52.0,10117.0,147,13043,0.0012267116460936902,0.003986812849804493,79.0
31309,70.0,97.0,12029.0,247,31379,0.0022307912935402656,0.003091239363905797,80.0
119216,502.0,783.0,167689.0,1479,119718,0.004193187323543661,0.006540369869192602,194.0
48619,355.0,164.0,4450.0,644,48974,0.007248744231633112,0.0033487156450361416,125.0
249593,444.0,652.0,49836.0,1594,250037,0.0017757371908957474,0.002607614073117179,498.0
376890,495.0,811.0,656608.0,1749,377385,0.0013116578560356134,0.0021489990328179445,443.0
220468,252.0,512.0,91665.0,1167,220720,0.0011417180137731063,0.0023196810438564698,403.0
13415,4.0,31.0,0.0,39,13419,0.00029808480512705867,0.0023101572397347045,4.0
11425,22.0,138.0,144.0,196,11447,0.0019219009347427273,0.012055560408840744,36.0
668689,806.0,972.0,1798961.0,2389,669495,0.0012038924861276037,0.0014518405663970606,611.0
1622649,990.0,1016.0,0.0,2995,1623639,0.0006097414511476997,0.0006257548629960231,989.0
739410,910.0,767.0,100366.0,2289,740320,0.0012291981845688352,0.0010360384698508752,612.0
19113,0.0,8.0,0.0,8,19113,0.0,0.00041856328153612725,0.0
9995,7.0,58.0,4111.0,70,10002,0.0006998600279944011,0.0057988402319536095,5.0
2499560,30313.0,31175.0,1309376.0,75022,2529873,0.011982024394109902,0.012322752960326467,13534.0
24707,61.0,122.0,3077.0,217,24768,0.0024628552971576226,0.004925710594315245,34.0
27817,59.0,196.0,4226.0,299,27876,0.0021165159994260296,0.007031137896398336,44.0
20458,16.0,273.0,0.0,318,20474,0.0007814789489108137,0.01333398456579076,29.0
1718355,776.0,675.0,6201396.0,2232,1719131,0.00045139084805055575,0.0003926402350955221,781.0
24545,82.0,148.0,4171.0,281,24627,0.0033296788078125633,0.0060096641897104805,51.0
1857673,655.0,1166.0,243700.0,2807,1858328,0.0003524673792785773,0.0006274457469294979,986.0
17543,44.0,103.0,10740.0,192,17587,0.0025018479558764997,0.0058565986239836245,45.0
1337513,677.0,845.0,5751530.0,2344,1338190,0.0005059072329041467,0.000631449943580508,822.0
547412,307.0,495.0,35325.0,1137,547719,0.0005605063910508856,0.0009037480898051738,335.0
148542,111.0,118.0,53223.0,328,148653,0.0007467054146233174,0.0007937949452752383,99.0
1815164,1181.0,2145.0,3908132.0,4795,1816345,0.0006502068714919247,0.001180943047713953,1469.0
826908,245.0,619.0,2296426.0,1532,827153,0.00029619671330455185,0.000748350063410276,668.0
1154719,406.0,624.0,3568133.0,1784,1155125,0.00035147711286657285,0.0005402012769180825,754.0
1750128,576.0,1711.0,725600.0,3173,1750704,0.00032901050091848765,0.000977321123388077,886.0
809854,604.0,703.0,228748.0,2083,810458,0.000745257619765614,0.0008674107726742163,776.0
155148,116.0,361.0,91710.0,663,155264,0.0007471145919208574,0.0023250721352019786,186.0
36252,69.0,301.0,3.0,423,36321,0.0018997274304121583,0.008287216761653038,53.0
170158,167.0,174.0,1134.0,447,170325,0.0009804784969910465,0.0010215763980625276,106.0
20249,50.0,450.0,0.0,545,20299,0.002463175525887975,0.022168579732991772,45.0
