match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
116,0.0,5,4688,9,116,0.0,0.04310344827586207,4.0
165,5.0,1,5421,20,170,0.029411764705882353,0.0058823529411764705,14.0
3966,356.0,182,8343,767,4322,0.08236927348449792,0.04211013419713096,229.0
10983,234.0,605,45490,2001,11217,0.020861192832308105,0.05393599001515557,1162.0
6579,98.0,98,22815,929,6677,0.014677250262093754,0.014677250262093754,733.0
6590,98.0,87,25312,924,6688,0.01465311004784689,0.013008373205741627,739.0
5658,283.0,127,14566,1012,5941,0.047635078269651576,0.021376872580373674,602.0
5700,24.0,245,2935,862,5724,0.0041928721174004195,0.042802236198462615,593.0
6345,86.0,180,12215,941,6431,0.013372725859119888,0.027989426216762557,675.0
6233,9.0,144,17021,806,6242,0.0014418455623197693,0.02306952899711631,653.0
6173,20.0,219,8226,902,6193,0.003229452607782981,0.03536250605522364,663.0
4932,17.0,169,18293,734,4949,0.0034350373812891493,0.03414831279046272,548.0
940,87.0,59,270,203,1027,0.08471275559883155,0.05744888023369036,57.0
868,52.0,35,3482,136,920,0.05652173913043478,0.03804347826086957,49.0
17589,266.0,232,42616,791,17855,0.014897787734528144,0.012993559227107253,293.0
