match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
2776,0.0,21.0,65.0,32,2776,0.0,0.007564841498559078,11.0
5093,116.0,20.0,31.0,141,5209,0.022269149548857746,0.003839508542906508,5.0
12024,302.0,752.0,3.0,1165,12326,0.02450105468116177,0.06100924874249554,111.0
13041,330.0,207.0,3906.0,686,13371,0.024680278214045323,0.015481265425173883,149.0
1652,6.0,13.0,0.0,24,1658,0.0036188178528347406,0.007840772014475271,5.0
19670,47.0,10.0,8575.0,98,19717,0.0023837297763351422,0.0005071765481564133,41.0
14523,8.0,139.0,3953.0,171,14531,0.0005505471061867731,0.009565755969995184,24.0
72941,283.0,211.0,0.0,619,73224,0.003864853053643614,0.002881568884518737,125.0
32222,174.0,129.0,36120.0,373,32396,0.0053710334609211015,0.003981973083096679,70.0
18504,14.0,51.0,2.0,97,18518,0.0007560211685927206,0.0027540771141591966,32.0
51849,271.0,328.0,0.0,758,52120,0.005199539524174981,0.0062931696085955485,159.0
53596,47.0,73.0,50437.0,184,53643,0.0008761627798594411,0.0013608485729731746,64.0
28876,90.0,43.0,24383.0,150,28966,0.0031070910722916525,0.0014844990678726784,17.0
27967,45.0,67.0,0.0,161,28012,0.0016064543766957018,0.002391832071969156,49.0
45185,191.0,100.0,20118.0,363,45376,0.004209273624823696,0.002203808180535966,72.0
47031,228.0,82.0,2.0,395,47259,0.004824477877229734,0.001735119236547536,85.0
100238,672.0,187.0,21715.0,1083,100910,0.006659399464869686,0.001853136458230106,224.0
58610,30.0,257.0,8220.0,344,58640,0.0005115961800818554,0.004382673942701228,57.0
237784,199.0,264.0,29909.0,634,237983,0.0008361941819373653,0.0011093229348314796,171.0
69395,139.0,31.0,46785.0,264,69534,0.001999022061149941,0.00044582506399746885,94.0
156817,273.0,99.0,30696.0,557,157090,0.0017378572792666625,0.000630211980393405,185.0
64483,69.0,45.0,52840.0,162,64552,0.0010689056884372289,0.0006971124055025406,48.0
48121,13.0,106.0,0.0,150,48134,0.00027007936178169277,0.0022021855652968794,31.0
22190,365.0,21.0,3281.0,413,22555,0.01618266459765019,0.0009310574152072711,27.0
42215,90.0,67.0,45671.0,193,42305,0.0021274081077886776,0.0015837371469093488,36.0
12387,133.0,111.0,263.0,953,12520,0.01062300319488818,0.008865814696485622,709.0
65816,195.0,93.0,70.0,380,66011,0.0029540531123600612,0.0014088560997409523,92.0
155570,788.0,390.0,314475.0,1431,156358,0.005039716547922076,0.002494275956458896,253.0
102193,194.0,144.0,7.0,482,102387,0.0018947717972008166,0.0014064285504995751,144.0
6949,2.0,8.0,0.0,17,6951,0.00028772838440512156,0.0011509135376204863,7.0
53304,5.0,103.0,0.0,161,53309,9.379279296178881e-05,0.0019321315350128497,53.0
60515,264.0,191.0,51705.0,680,60779,0.004343605521643989,0.0031425327827045526,225.0
154245,130.0,517.0,0.0,867,154375,0.0008421052631578948,0.0033489878542510123,220.0
178683,74.0,422.0,455762.0,751,178757,0.00041396980258115765,0.002360746712016872,255.0
401832,720.0,522.0,731311.0,1852,402552,0.0017885888034340906,0.0012967268824897156,610.0
67116,107.0,124.0,8.0,342,67223,0.0015917171206283564,0.001844606756616039,111.0
43703,30.0,105.0,70390.0,192,43733,0.0006859808382685844,0.0024009329339400452,57.0
371357,2377.0,2628.0,94095.0,6357,373734,0.006360138494223164,0.007031739151375042,1352.0
435037,703.0,273.0,3614637.0,1300,435740,0.0016133474090053702,0.0006265204020746317,324.0
237698,92.0,283.0,0.0,617,237790,0.0003868960006728626,0.0011901257412002186,242.0
50937,23.0,115.0,0.0,188,50960,0.0004513343799058085,0.0022566718995290424,50.0
253141,160.0,359.0,277911.0,812,253301,0.0006316595670763242,0.0014172861536275025,293.0
417389,317.0,490.0,355330.0,1219,417706,0.000758906982423044,0.001173073884502497,412.0
757075,1838.0,2123.0,49237.0,4994,758913,0.0024218849854989967,0.0027974221024017246,1033.0
8619,85.0,370.0,11.0,633,8704,0.009765625,0.04250919117647059,178.0
13439,93.0,343.0,0.0,804,13532,0.0068725982855453735,0.02534732485959208,368.0
17972,33.0,249.0,17710.0,356,18005,0.0018328242154956955,0.013829491807831157,74.0
9311,63.0,341.0,0.0,458,9374,0.0067207168764668234,0.036377213569447404,54.0
46187,74.0,20.0,0.0,163,46261,0.0015996195499448779,0.00043232960809321024,69.0
42602,34.0,194.0,27840.0,439,42636,0.0007974481658692185,0.004550145417018482,211.0
23476,14.0,78.0,0.0,206,23490,0.0005959982971477225,0.0033205619412515963,114.0
7595,2.0,57.0,0.0,80,7597,0.00026326181387389757,0.0075029616954060815,21.0
139766,141.0,470.0,15.0,988,139907,0.0010078123324780033,0.003359374441593344,377.0
14922,126.0,658.0,2415.0,942,15048,0.008373205741626795,0.04372674109516215,158.0
9495,142.0,234.0,95.0,460,9637,0.014734875998754799,0.02428141537822974,84.0
4889,2.0,29.0,0.0,46,4891,0.0004089143324473523,0.005929257820486608,15.0
24024,142.0,410.0,1969.0,661,24166,0.005876024166183894,0.016965985268559133,109.0
17858,35.0,213.0,0.0,289,17893,0.0019560722070083273,0.011904096574079249,41.0
17464,20.0,267.0,15294.0,400,17484,0.0011439029970258523,0.015271105010295128,113.0
29445,213.0,400.0,46.0,720,29658,0.00718187335626138,0.013487086115044844,107.0
29618,34.0,258.0,18.0,320,29652,0.0011466342911102118,0.008700930797248077,28.0
27496,62.0,451.0,0.0,581,27558,0.0022498004209304014,0.0163654837070905,68.0
18346,59.0,364.0,0.0,499,18405,0.0032056506384134744,0.019777234447161098,76.0
1328308,21630.0,21682.0,1286996.0,52869,1349938,0.01602295809140864,0.016061478379007035,9557.0
466565,476.0,475.0,142233.0,1395,467041,0.0010191824700615149,0.0010170413304185285,444.0
22842,13.0,60.0,0.0,132,22855,0.000568803325311748,0.0026252461168234523,59.0
12401,75.0,498.0,0.0,634,12476,0.006011542160949022,0.03991663994870151,61.0
75398,72.0,176.0,0.0,649,75470,0.0009540214654829733,0.0023320524711806017,401.0
9249,19.0,58.0,3096.0,100,9268,0.0020500647388864914,0.0062580923608113945,23.0
35138,82.0,262.0,12470.0,454,35220,0.0023282226007950027,0.007438955139125497,110.0
30010,91.0,167.0,325.0,322,30101,0.0030231553768977773,0.005547988438922295,64.0
2237,1.0,9.0,0.0,26,2238,0.00044682752457551384,0.004021447721179625,16.0
25458,51.0,53.0,1633.0,289,25509,0.001999294366694108,0.0020776980673487787,185.0
25388,12.0,113.0,12.0,166,25400,0.00047244094488188977,0.004448818897637795,41.0
303009,142.0,403.0,279124.0,1012,303151,0.0004684134309304604,0.0013293705117251799,467.0
7463,86.0,331.0,0.0,514,7549,0.011392237382434759,0.04384686713471983,97.0
31444,65.0,999.0,954.0,1250,31509,0.002062902662731283,0.031705227077977724,186.0
93634,42.0,153.0,38.0,298,93676,0.0004483539006789359,0.0016332892096161237,103.0
359852,608.0,346.0,119381.0,1338,360460,0.0016867336181545802,0.0009598845919103368,384.0
849483,1443.0,2207.0,33531.0,4818,850926,0.0016957996347508478,0.00259364504081436,1168.0
255171,61.0,55.0,90225.0,252,255232,0.0002389982447342026,0.00021549022066198596,136.0
732784,1282.0,1672.0,1375540.0,3890,734066,0.001746436968882907,0.0022777243463121843,936.0
748293,11393.0,11658.0,1355464.0,28341,759686,0.014996985596680733,0.015345813928386201,5290.0
528210,838.0,686.0,538561.0,2215,529048,0.001583977257262101,0.0012966687332718393,691.0
9857,76.0,266.0,2051.0,406,9933,0.007651263465216954,0.026779422128259338,64.0
522812,1840.0,1700.0,1897494.0,4415,524652,0.0035070866021667695,0.003240243056349733,875.0
