NM,length,ratio,assembly
448,24378,0.0183772253671343,CHM1
256,21397,0.0119642940599149,CHM1
681,25534,0.0266703219237096,CHM1
162,25895,0.00625603398339448,CHM1
927,29604,0.0313133360356709,CHM1
486,40267,0.0120694365112872,CHM1
96,39085,0.0024561852373033103,CHM1
474,39536,0.0119890732496965,CHM1
363,46793,0.00775757057679568,CHM1
1466,70060,0.0209249214958607,CHM1
1325,96672,0.0137061403508772,CHM1
627,64807,0.00967488079991359,CHM1
399,12102,0.0329697570649479,CHM1
828,69784,0.0118651839963315,CHM1
910,66710,0.0136411332633788,CHM1
1013,34642,0.0292419606258299,CHM1
381,36115,0.0105496331164336,CHM1
119,16142,0.00737207285342585,CHM1
372,22816,0.016304347826087,CHM1
920,72682,0.0126578795300074,CHM1
7806,508763,0.0153430968840108,CHM1
7887,45448,0.17353898961450503,CHM1
2578,459537,0.00560999440741442,CHM1
672,863262,0.000778442697581962,CHM1
145,46905,0.00309135486621895,CHM1
104,53551,0.0019420739108513398,CHM1
32,45183,0.000708230971825687,CHM1
261,140358,0.0018595306288205899,CHM1
24173,1248805,0.0193569052013725,CHM1
919,68469,0.0134221326439703,CHM1
375,31425,0.0119331742243437,CHM1
216,34130,0.00632874304131263,CHM1
220,27893,0.00788728354784355,CHM1
642,87976,0.00729744475766118,CHM1
509,63056,0.00807218979954326,CHM1
549,42792,0.0128295008412787,CHM1
2921,1588726,0.00183858009499435,CHM1
94909,2991270,0.0317286637448308,CHM1
556,6107,0.0910430653348616,CHM1
283,135499,0.00208857629945608,CHM1
177,140154,0.0012628965281048,CHM1
4845,2914434,0.00166241541239225,CHM1
3348,1636838,0.00204540705922028,CHM1
288,111485,0.00258330717136835,CHM1
696,35937,0.0193672259787962,CHM1
81,13623,0.00594582691037217,CHM1
14548,1882719,0.00772712231618208,CHM1
934,153809,0.0060724665006599106,CHM1
689,233265,0.00295372216149015,CHM1
450,41362,0.0108795512789517,CHM1
85,85422,0.000995059820655101,CHM1
609,55961,0.0108825789389039,CHM1
82,18215,0.00450178424375515,CHM1
125,123295,0.0010138286224096698,CHM1
606,95221,0.00636414236355426,CHM1
52,39264,0.0013243683781581099,CHM1
458,74860,0.00611808709591237,CHM1
792,98661,0.00802748806519293,CHM1
240,46875,0.00512,CHM1
268,66823,0.00401059515436302,CHM1
149,42754,0.00348505403003228,CHM1
426,121125,0.00351702786377709,CHM1
1022,157313,0.00649660231512971,CHM1
287,250731,0.0011446530345270401,CHM1
427,28013,0.0152429229286403,CHM1
780,45631,0.0170936424798931,CHM1
1765,45465,0.0388210711536347,CHM1
1142,40505,0.0281940501172695,CHM1
2032,17252,0.117783445397635,CHM1
1107,19757,0.0560307739029205,CHM1
1053,16443,0.0640394088669951,CHM1
455,9937,0.0457884673442689,CHM1
376,8070,0.0465923172242875,CHM1
764,15218,0.0502037061374688,CHM1
124,13029,0.009517230792846729,CHM1
651,15529,0.0419215661021315,CHM1
658,41388,0.0158983280177829,CHM1
1410,29609,0.0476206558816576,CHM1
3673,45261,0.08115154327124902,CHM1
3467,47045,0.0736953980231693,CHM1
4300,56927,0.075535334726931,CHM1
4082,43917,0.0929480611152857,CHM1
3513,44142,0.0795840695935844,CHM1
5455,67266,0.0810959474325811,CHM1
4615,55881,0.0825862099819259,CHM1
2998,41139,0.0728748875762658,CHM1
1716,23423,0.0732613243393246,CHM1
3452,44961,0.0767776517426214,CHM1
2366,31618,0.0748307925865014,CHM1
1049,19021,0.0551495715262079,CHM1
3234,42824,0.0755184008966934,CHM1
3662,50160,0.07300637958532699,CHM1
1840,30975,0.0594027441485069,CHM1
1627,28843,0.0564088340325209,CHM1
1704,29961,0.056873936116952004,CHM1
1519,23440,0.0648037542662116,CHM1
3253,45632,0.0712876928471248,CHM1
1190,22064,0.0539340101522843,CHM1
3781,48130,0.07855807188863499,CHM1
2133,40654,0.0524671619028878,CHM1
1500,21120,0.0710227272727273,CHM1
2362,40627,0.0581386762497846,CHM1
2510,39749,0.0631462426727716,CHM1
